                                     | Core 0     | Core 1    
  Instructions                       |      83371 |      76592
  Cycles                             |      68800 |      68800
  IPC                                |       1.21 |       1.11
  Time (ns)                          |      25865 |      25865
  Idle time (ns)                     |      11065 |      12452
  Idle time (%)                      |      42.8% |      48.1%
Branch predictor stats               |            |           
  num correct                        |       7436 |       6087
  num incorrect                      |         44 |         38
  misprediction rate                 |      0.59% |      0.62%
  mpki                               |       0.53 |       0.50
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13018 |      13019
    num cache misses                 |         16 |         16
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.19 |       0.21
  Cache L1-D                         |            |           
    num cache accesses               |      53450 |      49385
    num cache misses                 |        546 |        549
    miss rate                        |      1.02% |      1.11%
    mpki                             |       6.55 |       7.17
  Cache L2                           |            |           
    num cache accesses               |        577 |        577
    num cache misses                 |         25 |          6
    miss rate                        |      4.33% |      1.04%
    mpki                             |       0.30 |       0.08
  Cache L3                           |            |           
    num cache accesses               |         27 |          9
    num cache misses                 |         25 |          6
    miss rate                        |     92.59% |     66.67%
    mpki                             |       0.30 |       0.08
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      75.95 |        inf
  average dram queueing delay        |      22.52 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
