                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     110166 |     103093 |     137455 |     141169 |     131071 |     153073 |     137381 |     128665
  Cycles                             |     434539 |     434539 |     434539 |     434539 |     434539 |     434539 |     434539 |     434539
  IPC                                |       0.25 |       0.24 |       0.32 |       0.32 |       0.30 |       0.35 |       0.32 |       0.30
  Time (ns)                          |     163361 |     163361 |     163361 |     163361 |     163361 |     163361 |     163361 |     163361
  Idle time (ns)                     |     108536 |     119054 |      88420 |      90592 |      94267 |      83107 |      91881 |      94706
  Idle time (%)                      |      66.4% |      72.9% |      54.1% |      55.5% |      57.7% |      50.9% |      56.2% |      58.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      11090 |       9915 |      15621 |      16249 |      14557 |      18233 |      15611 |      14168
  num incorrect                      |        111 |        109 |        130 |        121 |        130 |        121 |        133 |        118
  misprediction rate                 |      0.99% |      1.09% |      0.83% |      0.74% |      0.89% |      0.66% |      0.84% |      0.83%
  mpki                               |       1.01 |       1.06 |       0.95 |       0.86 |       0.99 |       0.79 |       0.97 |       0.92
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13017 |      13020 |      13020 |      13020 |      13020 |      13017 |      13012 |      13020
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.15 |       0.16 |       0.12 |       0.11 |       0.12 |       0.10 |       0.11 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      64613 |      61081 |      78262 |      80119 |      75070 |      86071 |      78228 |      73867
    num cache misses                 |       3500 |       2801 |       3969 |       4152 |       5573 |       5635 |       5524 |       4889
    miss rate                        |      5.42% |      4.59% |      5.07% |      5.18% |      7.42% |      6.55% |      7.06% |      6.62%
    mpki                             |      31.77 |      27.17 |      28.87 |      29.41 |      42.52 |      36.81 |      40.21 |      38.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3692 |       2981 |       4180 |       4379 |       5835 |       5865 |       5739 |       5106
    num cache misses                 |       1046 |        792 |       1341 |       1320 |       1253 |       1269 |       1189 |       1147
    miss rate                        |     28.33% |     26.57% |     32.08% |     30.14% |     21.47% |     21.64% |     20.72% |     22.46%
    mpki                             |       9.49 |       7.68 |       9.76 |       9.35 |       9.56 |       8.29 |       8.65 |       8.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1157 |        881 |       1468 |       1476 |       1370 |       1405 |       1309 |       1249
    num cache misses                 |       1043 |        789 |       1329 |       1310 |       1243 |       1264 |       1178 |       1136
    miss rate                        |     90.15% |     89.56% |     90.53% |     88.75% |     90.73% |     89.96% |     89.99% |     90.95%
    mpki                             |       9.47 |       7.65 |       9.67 |       9.28 |       9.48 |       8.26 |       8.57 |       8.83
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     115.05 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      61.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          3 |          4 |          3 |          3 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         82 |         68 |        104 |        127 |         77 |         85 |         81 |         72
