                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4701375 |    5555309 |    4977443 |    4964638 |    5482614 |    5225848 |    5230986 |    5513751 |    5377575 |    4922894 |    4943727 |    4768636 |    5076886 |    4751436 |    4678650 |    5109566
  Cycles                             |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779 |    4985779
  IPC                                |       0.94 |       1.11 |       1.00 |       1.00 |       1.10 |       1.05 |       1.05 |       1.11 |       1.08 |       0.99 |       0.99 |       0.96 |       1.02 |       0.95 |       0.94 |       1.02
  Time (ns)                          |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353 |    1874353
  Idle time (ns)                     |     394520 |     149536 |     352354 |     344680 |      58015 |      82079 |     125539 |      37312 |      50122 |     198957 |     215791 |     299049 |     143364 |     259432 |     305498 |     166474
  Idle time (%)                      |      21.0% |       8.0% |      18.8% |      18.4% |       3.1% |       4.4% |       6.7% |       2.0% |       2.7% |      10.6% |      11.5% |      16.0% |       7.6% |      13.8% |      16.3% |       8.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1141764 |    1355180 |    1210668 |    1207549 |    1337056 |    1272832 |    1274178 |    1344816 |    1310803 |    1197103 |    1202373 |    1158597 |    1235579 |    1154245 |    1136116 |    1243846
  num incorrect                      |        327 |        389 |        442 |        354 |        345 |        386 |        314 |        359 |        348 |        363 |        314 |        321 |        390 |        372 |        294 |        294
  misprediction rate                 |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02%
  mpki                               |       0.07 |       0.07 |       0.09 |       0.07 |       0.06 |       0.07 |       0.06 |       0.07 |       0.06 |       0.07 |       0.06 |       0.07 |       0.08 |       0.08 |       0.06 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
