                                     | Core 0     | Core 1    
  Instructions                       |     433993 |     392954
  Cycles                             |     544811 |     544811
  IPC                                |       0.80 |       0.72
  Time (ns)                          |     204817 |     204817
  Idle time (ns)                     |      13457 |      21730
  Idle time (%)                      |       6.6% |      10.6%
Branch predictor stats               |            |           
  num correct                        |      75223 |      64926
  num incorrect                      |        278 |        305
  misprediction rate                 |      0.37% |      0.47%
  mpki                               |       0.64 |       0.78
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30016 |      30031
    num cache misses                 |         13 |         16
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.03 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     249027 |     228497
    num cache misses                 |       1662 |       1413
    miss rate                        |      0.67% |      0.62%
    mpki                             |       3.83 |       3.60
  Cache L2                           |            |           
    num cache accesses               |       2198 |       2201
    num cache misses                 |       1675 |       1429
    miss rate                        |     76.21% |     64.93%
    mpki                             |       3.86 |       3.64
  Cache L3                           |            |           
    num cache accesses               |       2198 |       2201
    num cache misses                 |          9 |         21
    miss rate                        |      0.41% |      0.95%
    mpki                             |       0.02 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      96.68 |        inf
  average dram queueing delay        |      43.25 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
