                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     128308 |      83955 |     145569 |     133598 |     141777 |     155488 |     145887 |     156902
  Cycles                             |     426563 |     426563 |     426563 |     426563 |     426563 |     426563 |     426563 |     426563
  IPC                                |       0.30 |       0.20 |       0.34 |       0.31 |       0.33 |       0.36 |       0.34 |       0.37
  Time (ns)                          |     160362 |     160362 |     160362 |     160362 |     160362 |     160362 |     160362 |     160362
  Idle time (ns)                     |      89570 |     125510 |      77677 |      85564 |      83886 |      72620 |      78718 |      72553
  Idle time (%)                      |      55.9% |      78.3% |      48.4% |      53.4% |      52.3% |      45.3% |      49.1% |      45.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      14130 |       6793 |      16991 |      14987 |      16367 |      18621 |      17029 |      18847
  num incorrect                      |         94 |         33 |        112 |        121 |         96 |        131 |        127 |        146
  misprediction rate                 |      0.66% |      0.48% |      0.65% |      0.80% |      0.58% |      0.70% |      0.74% |      0.77%
  mpki                               |       0.73 |       0.39 |       0.77 |       0.91 |       0.68 |       0.84 |       0.87 |       0.93
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13017 |      13015 |      13020 |      13020 |      13015 |      13010 |      13020 |      13020
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         14 |         16 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.11% |      0.12% |      0.12%
    mpki                             |       0.12 |       0.19 |       0.11 |       0.12 |       0.11 |       0.09 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      73682 |      51494 |      82318 |      76333 |      80405 |      87259 |      82477 |      87982
    num cache misses                 |       2144 |        813 |       1793 |       1745 |       1684 |       1873 |       1833 |       1855
    miss rate                        |      2.91% |      1.58% |      2.18% |      2.29% |      2.09% |      2.15% |      2.22% |      2.11%
    mpki                             |      16.71 |       9.68 |      12.32 |      13.06 |      11.88 |      12.05 |      12.56 |      11.82
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2653 |       1085 |       2346 |       2317 |       2238 |       2520 |       2427 |       2502
    num cache misses                 |       2160 |        830 |       1809 |       1761 |       1701 |       1887 |       1849 |       1871
    miss rate                        |     81.42% |     76.50% |     77.11% |     76.00% |     76.01% |     74.88% |     76.18% |     74.78%
    mpki                             |      16.83 |       9.89 |      12.43 |      13.18 |      12.00 |      12.14 |      12.67 |      11.92
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2653 |       1085 |       2346 |       2317 |       2238 |       2520 |       2427 |       2502
    num cache misses                 |       2160 |        830 |       1809 |       1761 |       1701 |       1887 |       1849 |       1871
    miss rate                        |     81.42% |     76.50% |     77.11% |     76.00% |     76.01% |     74.88% |     76.18% |     74.78%
    mpki                             |      16.83 |       9.89 |      12.43 |      13.18 |      12.00 |      12.14 |      12.67 |      11.92
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       1857 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        231 |        100 |        220 |        202 |        205 |        246 |        245 |        234
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        283 |        135 |        294 |        315 |        309 |        360 |        317 |        362
