                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     135941 |     160753 |     183722 |     190026
  Cycles                             |     210750 |     210750 |     210750 |     210750
  IPC                                |       0.65 |       0.76 |       0.87 |       0.90
  Time (ns)                          |      79230 |      79230 |      79230 |      79230
  Idle time (ns)                     |      49573 |      43314 |      38308 |      36364
  Idle time (%)                      |      62.6% |      54.7% |      48.4% |      45.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      20801 |      26947 |      32658 |      34237
  num incorrect                      |        184 |        240 |        271 |        269
  misprediction rate                 |      0.88% |      0.88% |      0.82% |      0.78%
  mpki                               |       1.35 |       1.49 |       1.48 |       1.42
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      14018 |      14024 |      14023 |      14020
    num cache misses                 |         16 |         18 |         18 |         17
    miss rate                        |      0.11% |      0.13% |      0.13% |      0.12%
    mpki                             |       0.12 |       0.11 |       0.10 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      76998 |      89399 |     100883 |     104036
    num cache misses                 |       1798 |       2175 |       2453 |       2384
    miss rate                        |      2.34% |      2.43% |      2.43% |      2.29%
    mpki                             |      13.23 |      13.53 |      13.35 |      12.55
  Cache L2                           |            |            |            |           
    num cache accesses               |       2417 |       2800 |       2930 |       2714
    num cache misses                 |         15 |         14 |         18 |         14
    miss rate                        |      0.62% |      0.50% |      0.61% |      0.52%
    mpki                             |       0.11 |       0.09 |       0.10 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |         15 |         19 |         15
    num cache misses                 |         15 |         14 |         18 |         14
    miss rate                        |     88.24% |     93.33% |     94.74% |     93.33%
    mpki                             |       0.11 |       0.09 |       0.10 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     167.60 |        inf |        inf |        inf
  average dram queueing delay        |     114.17 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          2 |          2 |          1
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
