                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1026519 |     952071 |    1183459 |    1092634 |     956725 |     815558 |     917504 |    1065460 |     748452 |     981708 |    1090309 |    1059916 |    1130566 |     830270 |    1019332 |    1031067
  Cycles                             |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896 |    5601896
  IPC                                |       0.18 |       0.17 |       0.21 |       0.20 |       0.17 |       0.15 |       0.16 |       0.19 |       0.13 |       0.18 |       0.19 |       0.19 |       0.20 |       0.15 |       0.18 |       0.18
  Time (ns)                          |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976 |    2105976
  Idle time (ns)                     |     207936 |     375188 |      71829 |     169666 |     190441 |     554666 |     383369 |     111505 |     713506 |     272418 |     100406 |     190892 |      80427 |     568426 |     224650 |     190003
  Idle time (%)                      |       9.9% |      17.8% |       3.4% |       8.1% |       9.0% |      26.3% |      18.2% |       5.3% |      33.9% |      12.9% |       4.8% |       9.1% |       3.8% |      27.0% |      10.7% |       9.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     153236 |     140795 |     179400 |     164256 |     141621 |     118077 |     135044 |     159740 |     106889 |     145742 |     163877 |     158748 |     170606 |     120545 |     152044 |     154000
  num incorrect                      |        191 |        225 |        185 |        196 |        180 |        192 |        216 |        183 |        199 |        221 |        187 |        251 |        168 |        180 |        191 |        191
  misprediction rate                 |      0.12% |      0.16% |      0.10% |      0.12% |      0.13% |      0.16% |      0.16% |      0.11% |      0.19% |      0.15% |      0.11% |      0.16% |      0.10% |      0.15% |      0.13% |      0.12%
  mpki                               |       0.19 |       0.24 |       0.16 |       0.18 |       0.19 |       0.24 |       0.24 |       0.17 |       0.27 |       0.23 |       0.17 |       0.24 |       0.15 |       0.22 |       0.19 |       0.19
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31017 |      31020 |      31013 |      31011 |      31011 |      31015 |      31015 |      31011 |      31012 |      31013 |      31012 |      31011 |      31011 |      31011 |      31011 |      31012
    num cache misses                 |         16 |         16 |         15 |         15 |         15 |         16 |         16 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     545291 |     508069 |     623772 |     578361 |     510406 |     439821 |     490794 |     564774 |     406264 |     522895 |     577193 |     562002 |     597327 |     447178 |     541710 |     547575
    num cache misses                 |      63655 |      53653 |      62067 |      60505 |      54366 |      44548 |      49843 |      56787 |      45380 |      55571 |      59825 |      58487 |      59638 |      45444 |      56056 |      56732
    miss rate                        |     11.67% |     10.56% |      9.95% |     10.46% |     10.65% |     10.13% |     10.16% |     10.05% |     11.17% |     10.63% |     10.36% |     10.41% |      9.98% |     10.16% |     10.35% |     10.36%
    mpki                             |      62.01 |      56.35 |      52.45 |      55.38 |      56.83 |      54.62 |      54.32 |      53.30 |      60.63 |      56.61 |      54.87 |      55.18 |      52.75 |      54.73 |      54.99 |      55.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      63751 |      53753 |      62162 |      60600 |      54455 |      44649 |      49949 |      56907 |      45466 |      55677 |      59888 |      58582 |      59750 |      45562 |      56151 |      56845
    num cache misses                 |      41194 |      33957 |      39890 |      38350 |      39377 |      31264 |      35197 |      41213 |      30490 |      36595 |      40941 |      38906 |      41139 |      30804 |      38046 |      38766
    miss rate                        |     64.62% |     63.17% |     64.17% |     63.28% |     72.31% |     70.02% |     70.47% |     72.42% |     67.06% |     65.73% |     68.36% |     66.41% |     68.85% |     67.61% |     67.76% |     68.20%
    mpki                             |      40.13 |      35.67 |      33.71 |      35.10 |      41.16 |      38.33 |      38.36 |      38.68 |      40.74 |      37.28 |      37.55 |      36.71 |      36.39 |      37.10 |      37.32 |      37.60
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      41263 |      34030 |      39967 |      38418 |      39444 |      31335 |      35274 |      41306 |      30550 |      36663 |      40983 |      38981 |      41222 |      30892 |      38117 |      38849
    num cache misses                 |      15513 |      14166 |      17693 |      17052 |      15484 |      12695 |      14360 |      16898 |      11041 |      14904 |      17368 |      16483 |      17464 |      12810 |      16012 |      16580
    miss rate                        |     37.60% |     41.63% |     44.27% |     44.39% |     39.26% |     40.51% |     40.71% |     40.91% |     36.14% |     40.65% |     42.38% |     42.28% |     42.37% |     41.47% |     42.01% |     42.68%
    mpki                             |      15.11 |      14.88 |      14.95 |      15.61 |      16.18 |      15.57 |      15.65 |      15.86 |      14.75 |      15.18 |      15.93 |      15.55 |      15.45 |      15.43 |      15.71 |      16.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     249.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     196.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7002 |       6934 |       7973 |       7920 |       8079 |       6433 |       7285 |       8673 |       5139 |       7452 |       8303 |       7969 |       8341 |       6404 |       7825 |       8071
