                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     163573 |     181005 |     123674 |     172885 |     173207 |     177895 |     145595 |     153280
  Cycles                             |     652127 |     652127 |     652127 |     652127 |     652127 |     652127 |     652127 |     652127
  IPC                                |       0.25 |       0.28 |       0.19 |       0.27 |       0.27 |       0.27 |       0.22 |       0.24
  Time (ns)                          |     245161 |     245161 |     245161 |     245161 |     245161 |     245161 |     245161 |     245161
  Idle time (ns)                     |     106391 |      86474 |     137726 |      99428 |      83200 |      88113 |     115721 |     117895
  Idle time (%)                      |      43.4% |      35.3% |      56.2% |      40.6% |      33.9% |      35.9% |      47.2% |      48.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      23414 |      26882 |      15441 |      25263 |      25347 |      26253 |      19774 |      21329
  num incorrect                      |        106 |        126 |        101 |        121 |        101 |        133 |        152 |        134
  misprediction rate                 |      0.45% |      0.47% |      0.65% |      0.48% |      0.40% |      0.50% |      0.76% |      0.62%
  mpki                               |       0.65 |       0.70 |       0.82 |       0.70 |       0.58 |       0.75 |       1.04 |       0.87
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13018 |      13021 |      13021 |      13021 |      13019 |      13021 |      13021 |      13021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.09 |       0.13 |       0.09 |       0.09 |       0.09 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     101570 |     112033 |      77635 |     107161 |     107354 |     110167 |      90787 |      95398
    num cache misses                 |       6847 |       7104 |       5064 |       6790 |       6839 |       6894 |       5992 |       5799
    miss rate                        |      6.74% |      6.34% |      6.52% |      6.34% |      6.37% |      6.26% |      6.60% |      6.08%
    mpki                             |      41.86 |      39.25 |      40.95 |      39.27 |      39.48 |      38.75 |      41.16 |      37.83
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6917 |       7191 |       5126 |       6857 |       6875 |       6953 |       6070 |       5854
    num cache misses                 |       3548 |       3989 |       2692 |       3529 |       3838 |       3723 |       3284 |       2934
    miss rate                        |     51.29% |     55.47% |     52.52% |     51.47% |     55.83% |     53.55% |     54.10% |     50.12%
    mpki                             |      21.69 |      22.04 |      21.77 |      20.41 |      22.16 |      20.93 |      22.56 |      19.14
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3569 |       4026 |       2717 |       3562 |       3850 |       3747 |       3323 |       2952
    num cache misses                 |         16 |          8 |         10 |         10 |         10 |          8 |          9 |          9
    miss rate                        |      0.45% |      0.20% |      0.37% |      0.28% |      0.26% |      0.21% |      0.27% |      0.30%
    mpki                             |       0.10 |       0.04 |       0.08 |       0.06 |       0.06 |       0.04 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     162.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     109.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          4 |          6 |          5 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
