                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     885161 |     750750 |     820774 |     843192 |     740453 |     723911 |     575678 |     762163 |     631822 |     637256 |     736072 |     512094 |     785286 |     723766 |     753372 |     764259
  Cycles                             |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210 |     960210
  IPC                                |       0.92 |       0.78 |       0.85 |       0.88 |       0.77 |       0.75 |       0.60 |       0.79 |       0.66 |       0.66 |       0.77 |       0.53 |       0.82 |       0.75 |       0.78 |       0.80
  Time (ns)                          |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981 |     360981
  Idle time (ns)                     |      71835 |     117367 |      91866 |      87034 |      81046 |      79321 |     147359 |      77850 |     125816 |     131447 |      79581 |     173257 |      73157 |      87251 |      76993 |      84751
  Idle time (%)                      |      19.9% |      32.5% |      25.4% |      24.1% |      22.5% |      22.0% |      40.8% |      21.6% |      34.9% |      36.4% |      22.0% |      48.0% |      20.3% |      24.2% |      21.3% |      23.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     208349 |     174781 |     192270 |     197844 |     172163 |     168015 |     131069 |     177576 |     145030 |     146390 |     171070 |     115092 |     183401 |     168029 |     175381 |     178171
  num incorrect                      |        184 |        166 |        175 |        209 |        202 |        213 |        113 |        217 |        188 |        185 |        208 |        194 |        179 |        172 |        214 |        153
  misprediction rate                 |      0.09% |      0.09% |      0.09% |      0.11% |      0.12% |      0.13% |      0.09% |      0.12% |      0.13% |      0.13% |      0.12% |      0.17% |      0.10% |      0.10% |      0.12% |      0.09%
  mpki                               |       0.21 |       0.22 |       0.21 |       0.25 |       0.27 |       0.29 |       0.20 |       0.28 |       0.30 |       0.29 |       0.28 |       0.38 |       0.23 |       0.24 |       0.28 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12016 |      12013 |      12013 |      12012 |      12016 |      12016 |      12012 |      12014 |      12012 |      12012 |      12012 |      12012 |      12013 |      12013 |      12012 |      12012
    num cache misses                 |         13 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     452104 |     384913 |     419911 |     431133 |     379763 |     371492 |     297381 |     390617 |     325452 |     328169 |     377576 |     265589 |     402181 |     371421 |     386221 |     391669
    num cache misses                 |       5318 |       4389 |       4941 |       5013 |       4683 |       4662 |       3551 |       4696 |       4106 |       3997 |       4491 |       3179 |       4742 |       4448 |       4688 |       4489
    miss rate                        |      1.18% |      1.14% |      1.18% |      1.16% |      1.23% |      1.25% |      1.19% |      1.20% |      1.26% |      1.22% |      1.19% |      1.20% |      1.18% |      1.20% |      1.21% |      1.15%
    mpki                             |       6.01 |       5.85 |       6.02 |       5.95 |       6.32 |       6.44 |       6.17 |       6.16 |       6.50 |       6.27 |       6.10 |       6.21 |       6.04 |       6.15 |       6.22 |       5.87
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
