                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2147057 |    2518606 |    2219646 |    2647531 |    2450143 |    2367767 |    2093006 |    2638190 |    2465691 |    2392430 |    2599904 |    2516257 |    2438911 |    2570962 |    2575110 |    2417074
  Cycles                             |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964 |    5188964
  IPC                                |       0.41 |       0.49 |       0.43 |       0.51 |       0.47 |       0.46 |       0.40 |       0.51 |       0.48 |       0.46 |       0.50 |       0.48 |       0.47 |       0.50 |       0.50 |       0.47
  Time (ns)                          |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739 |    1950739
  Idle time (ns)                     |     377707 |     141905 |     280199 |      71814 |     175960 |     199606 |     357429 |      86391 |     134978 |     204706 |     104678 |     126789 |     164634 |     100510 |     107397 |     159425
  Idle time (%)                      |      19.4% |       7.3% |      14.4% |       3.7% |       9.0% |      10.2% |      18.3% |       4.4% |       6.9% |      10.5% |       5.4% |       6.5% |       8.4% |       5.2% |       5.5% |       8.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     503022 |     595879 |     521203 |     628210 |     578763 |     558297 |     489500 |     625768 |     582667 |     564399 |     616221 |     595325 |     576047 |     609052 |     610072 |     570584
  num incorrect                      |        477 |        497 |        446 |        406 |        513 |        394 |        485 |        520 |        499 |        444 |        498 |        468 |        419 |        434 |        446 |        426
  misprediction rate                 |      0.09% |      0.08% |      0.09% |      0.06% |      0.09% |      0.07% |      0.10% |      0.08% |      0.09% |      0.08% |      0.08% |      0.08% |      0.07% |      0.07% |      0.07% |      0.07%
  mpki                               |       0.22 |       0.20 |       0.20 |       0.15 |       0.21 |       0.17 |       0.23 |       0.20 |       0.20 |       0.19 |       0.19 |       0.19 |       0.17 |       0.17 |       0.17 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
