                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223155 |     223021 |     223374 |     223376
  Cycles                             |    2296313 |    2296313 |    2296313 |    2296313
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     863276 |     863276 |     863276 |     863276
  Idle time (ns)                     |     721547 |     720231 |     720701 |     719856
  Idle time (%)                      |      83.6% |      83.4% |      83.5% |      83.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      19671 |      19611 |      19640 |      19612
  num incorrect                      |       1102 |       1135 |       1142 |       1172
  misprediction rate                 |      5.30% |      5.47% |      5.50% |      5.64%
  mpki                               |       4.94 |       5.09 |       5.11 |       5.25
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18594 |      18608 |      18627 |      18622
    num cache misses                 |         22 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136703 |     136710 |     136843 |     136835
    num cache misses                 |       2512 |       2522 |       2568 |       2533
    miss rate                        |      1.84% |      1.84% |      1.88% |      1.85%
    mpki                             |      11.26 |      11.31 |      11.50 |      11.34
  Cache L2                           |            |            |            |           
    num cache accesses               |       3223 |       3343 |       3334 |       3331
    num cache misses                 |         24 |          9 |         12 |         21
    miss rate                        |      0.74% |      0.27% |      0.36% |      0.63%
    mpki                             |       0.11 |       0.04 |       0.05 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |         12 |         15 |         24
    num cache misses                 |         24 |          9 |         12 |         21
    miss rate                        |     92.31% |     75.00% |     80.00% |     87.50%
    mpki                             |       0.11 |       0.04 |       0.05 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0
  average dram access latency (ns)   |     131.78 |        inf |        inf |        inf
  average dram queueing delay        |      78.35 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
