                                     | Core 0     | Core 1    
  Instructions                       |     220371 |     220391
  Cycles                             |    1401963 |    1401963
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     527054 |     527054
  Idle time (ns)                     |     390806 |     390315
  Idle time (%)                      |      74.1% |      74.1%
Branch predictor stats               |            |           
  num correct                        |      19646 |      19617
  num incorrect                      |        929 |        965
  misprediction rate                 |      4.52% |      4.69%
  mpki                               |       4.22 |       4.38
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18302 |      18312
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.14%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135649 |     135674
    num cache misses                 |       1969 |       1502
    miss rate                        |      1.45% |      1.11%
    mpki                             |       8.93 |       6.82
  Cache L2                           |            |           
    num cache accesses               |       2466 |       2467
    num cache misses                 |         32 |         19
    miss rate                        |      1.30% |      0.77%
    mpki                             |       0.15 |       0.09
  Cache L3                           |            |           
    num cache accesses               |         34 |         22
    num cache misses                 |         32 |         19
    miss rate                        |     94.12% |     86.36%
    mpki                             |       0.15 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      95.75 |        inf
  average dram queueing delay        |      42.32 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
