                                     | Core 0     | Core 1    
  Instructions                       |    4272813 |    4689349
  Cycles                             |    6876936 |    6876936
  IPC                                |       0.62 |       0.68
  Time (ns)                          |    2585315 |    2585315
  Idle time (ns)                     |     170493 |      13410
  Idle time (%)                      |       6.6% |       0.5%
Branch predictor stats               |            |           
  num correct                        |     589243 |     658669
  num incorrect                      |        233 |        231
  misprediction rate                 |      0.04% |      0.04%
  mpki                               |       0.05 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     211017 |     211017
    num cache misses                 |         16 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2393438 |    2601709
    num cache misses                 |       3186 |       3135
    miss rate                        |      0.13% |      0.12%
    mpki                             |       0.75 |       0.67
  Cache L2                           |            |           
    num cache accesses               |       3203 |       3206
    num cache misses                 |         20 |         11
    miss rate                        |      0.62% |      0.34%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         21 |         15
    num cache misses                 |         20 |         11
    miss rate                        |     95.24% |     73.33%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      97.93 |        inf
  average dram queueing delay        |      44.50 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
