                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   39645973 |   46635347 |   44712723 |   45630535 |   46282950 |   43960821 |   46940179 |   42592187
  Cycles                             |   26722577 |   26722577 |   26722577 |   26722577 |   26722577 |   26722577 |   26722577 |   26722577
  IPC                                |       1.48 |       1.75 |       1.67 |       1.71 |       1.73 |       1.65 |       1.76 |       1.59
  Time (ns)                          |   10046082 |   10046082 |   10046082 |   10046082 |   10046082 |   10046082 |   10046082 |   10046082
  Idle time (ns)                     |    1421827 |      98214 |     477902 |     313099 |     205116 |     640371 |      83134 |     904626
  Idle time (%)                      |      14.2% |       1.0% |       4.8% |       3.1% |       2.0% |       6.4% |       0.8% |       9.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    9675067 |   11422316 |   10941718 |   11171205 |   11334247 |   10753785 |   11498591 |   10411684
  num incorrect                      |        656 |        753 |        685 |        669 |        730 |        664 |        690 |        610
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     212018 |     212022 |     212022 |     212022 |     212022 |     212017 |     212018 |     212022
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20079494 |   23574184 |   22612853 |   23071786 |   23397993 |   22236939 |   23726605 |   21552619
    num cache misses                 |       9836 |      11341 |      10809 |      10895 |       6527 |       6111 |       6588 |       5765
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.25 |       0.24 |       0.24 |       0.24 |       0.14 |       0.14 |       0.14 |       0.14
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10729 |      12172 |      11643 |      11706 |       7543 |       7122 |       7573 |       6826
    num cache misses                 |       2396 |       2306 |       1624 |       1332 |       1050 |       1076 |       1045 |        987
    miss rate                        |     22.33% |     18.95% |     13.95% |     11.38% |     13.92% |     15.11% |     13.80% |     14.46%
    mpki                             |       0.06 |       0.05 |       0.04 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2499 |       2434 |       1806 |       1478 |       2007 |       2151 |       2009 |       2056
    num cache misses                 |         19 |          8 |         11 |          9 |          9 |         16 |         10 |          9
    miss rate                        |      0.76% |      0.33% |      0.61% |      0.61% |      0.45% |      0.74% |      0.50% |      0.44%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     154.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          6 |          5 |          4 |          7 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
