                                     | Core 0     | Core 1    
  Instructions                       |    4462731 |    4744300
  Cycles                             |    7122720 |    7122720
  IPC                                |       0.63 |       0.67
  Time (ns)                          |    2677715 |    2677715
  Idle time (ns)                     |     119143 |      13353
  Idle time (%)                      |       4.4% |       0.5%
Branch predictor stats               |            |           
  num correct                        |     620922 |     667835
  num incorrect                      |        207 |        217
  misprediction rate                 |      0.03% |      0.03%
  mpki                               |       0.05 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     211017 |     211027
    num cache misses                 |         16 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2488397 |    2629164
    num cache misses                 |       3294 |       3340
    miss rate                        |      0.13% |      0.13%
    mpki                             |       0.74 |       0.70
  Cache L2                           |            |           
    num cache accesses               |       3357 |       3359
    num cache misses                 |       3310 |       3356
    miss rate                        |     98.60% |     99.91%
    mpki                             |       0.74 |       0.71
  Cache L3                           |            |           
    num cache accesses               |       3357 |       3359
    num cache misses                 |         15 |         17
    miss rate                        |      0.45% |      0.51%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      90.12 |        inf
  average dram queueing delay        |      36.69 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
