                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   24238556 |   26215695 |   16222344 |   25168947
  Cycles                             |   13537858 |   13537858 |   13537858 |   13537858
  IPC                                |       1.79 |       1.94 |       1.20 |       1.86
  Time (ns)                          |    5089421 |    5089421 |    5089421 |    5089421
  Idle time (ns)                     |     334428 |      37341 |    1541846 |     194064
  Idle time (%)                      |       6.6% |       0.7% |      30.3% |       3.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    4679831 |    5075269 |    3076633 |    4865902
  num incorrect                      |        286 |        276 |        243 |        294
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211018 |     211020 |     211018 |     211022
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   14665361 |   15851646 |    9855645 |   15223598
    num cache misses                 |    2794614 |    2850322 |    1782762 |    2697636
    miss rate                        |     19.06% |     17.98% |     18.09% |     17.72%
    mpki                             |     115.30 |     108.73 |     109.90 |     107.18
  Cache L2                           |            |            |            |           
    num cache accesses               |    2794649 |    2850349 |    1782818 |    2697680
    num cache misses                 |         14 |          8 |         11 |         12
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         15 |         10 |         13 |         15
    num cache misses                 |         14 |          8 |         11 |         12
    miss rate                        |     93.33% |     80.00% |     84.62% |     80.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     111.63 |        inf |        inf |        inf
  average dram queueing delay        |      58.20 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
