                                     | Core 0     | Core 1    
  Instructions                       |     152970 |      84828
  Cycles                             |     138226 |     138226
  IPC                                |       1.11 |       0.61
  Time (ns)                          |      51965 |      51965
  Idle time (ns)                     |       2995 |      16420
  Idle time (%)                      |       5.8% |      31.6%
Branch predictor stats               |            |           
  num correct                        |      21324 |       7699
  num incorrect                      |         75 |         76
  misprediction rate                 |      0.35% |      0.98%
  mpki                               |       0.49 |       0.90
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13016 |      13014
    num cache misses                 |         14 |         16
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.09 |       0.19
  Cache L1-D                         |            |           
    num cache accesses               |      95208 |      54333
    num cache misses                 |       1110 |       1110
    miss rate                        |      1.17% |      2.04%
    mpki                             |       7.26 |      13.09
  Cache L2                           |            |           
    num cache accesses               |       1187 |       1182
    num cache misses                 |       1124 |       1127
    miss rate                        |     94.69% |     95.35%
    mpki                             |       7.35 |      13.29
  Cache L3                           |            |           
    num cache accesses               |       1187 |       1182
    num cache misses                 |       1124 |       1127
    miss rate                        |     94.69% |     95.35%
    mpki                             |       7.35 |      13.29
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      76.50 |        inf
  average dram queueing delay        |      23.07 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |         56 |         62
