                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   16722713 |   20229832 |   19804528 |   16731666
  Cycles                             |   13556733 |   13556733 |   13556733 |   13556733
  IPC                                |       1.23 |       1.49 |       1.46 |       1.23
  Time (ns)                          |    5096517 |    5096517 |    5096517 |    5096517
  Idle time (ns)                     |     732676 |      14475 |      89216 |     694518
  Idle time (%)                      |      14.4% |       0.3% |       1.8% |      13.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    3944551 |    4821329 |    4714949 |    3946769
  num incorrect                      |        371 |        382 |        439 |        397
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     212018 |     212012 |     212014 |     212022
    num cache misses                 |         16 |         15 |         16 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    8617878 |   10371449 |   10158800 |    8622361
    num cache misses                 |       3650 |       4277 |       4289 |       3672
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       4644 |       5227 |       5257 |       4675
    num cache misses                 |       3666 |       4292 |       4305 |       3689
    miss rate                        |     78.94% |     82.11% |     81.89% |     78.91%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.22
  Cache L3                           |            |            |            |           
    num cache accesses               |       4644 |       5227 |       5257 |       4675
    num cache misses                 |       3666 |       4292 |       4305 |       3689
    miss rate                        |     78.94% |     82.11% |     81.89% |     78.91%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.22
DRAM summary                         |            |            |            |           
  num dram accesses                  |       8822 |          0 |          0 |          0
  average dram access latency (ns)   |      56.12 |        inf |        inf |        inf
  average dram queueing delay        |       2.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1661 |       2209 |       2262 |       2053
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1523 |       1602 |       1493 |       1118
