                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   20646301 |   20806935 |   18156959 |   20451981
  Cycles                             |   13846974 |   13846974 |   13846974 |   13846974
  IPC                                |       1.49 |       1.50 |       1.31 |       1.48
  Time (ns)                          |    5205630 |    5205630 |    5205630 |    5205630
  Idle time (ns)                     |      61645 |      36259 |     553423 |     106063
  Idle time (%)                      |       1.2% |       0.7% |      10.6% |       2.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4925327 |    4965529 |    4302985 |    4876789
  num incorrect                      |        490 |        444 |        494 |        447
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     212018 |     212027 |     212032 |     212031
    num cache misses                 |         16 |         18 |         18 |         18
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10579670 |   10659980 |    9334993 |   10482507
    num cache misses                 |       5920 |       5848 |       5170 |       5703
    miss rate                        |      0.06% |      0.05% |      0.06% |      0.05%
    mpki                             |       0.29 |       0.28 |       0.28 |       0.28
  Cache L2                           |            |            |            |           
    num cache accesses               |       7206 |       6830 |       6186 |       6710
    num cache misses                 |       5936 |       5866 |       5188 |       5721
    miss rate                        |     82.38% |     85.89% |     83.87% |     85.26%
    mpki                             |       0.29 |       0.28 |       0.29 |       0.28
  Cache L3                           |            |            |            |           
    num cache accesses               |       7206 |       6830 |       6186 |       6710
    num cache misses                 |         12 |         16 |         10 |         17
    miss rate                        |      0.17% |      0.23% |      0.16% |      0.25%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     148.70 |        inf |        inf |        inf
  average dram queueing delay        |      95.28 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
