                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      99995 |      99595 |     100075 |     100177 |     101169 |     101553 |     101161 |     101015
  Cycles                             |    1699927 |    1699927 |    1699927 |    1699927 |    1699927 |    1699927 |    1699927 |    1699927
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     639070 |     639070 |     639070 |     639070 |     639070 |     639070 |     639070 |     639070
  Idle time (ns)                     |     584701 |     589444 |     582982 |     584512 |     583934 |     586613 |     587003 |     582557
  Idle time (%)                      |      91.5% |      92.2% |      91.2% |      91.5% |      91.4% |      91.8% |      91.9% |      91.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10828 |      10796 |      10801 |      10804 |      10799 |      10804 |      10830 |      10808
  num incorrect                      |        599 |        585 |        654 |        620 |        709 |        728 |        674 |        678
  misprediction rate                 |      5.24% |      5.14% |      5.71% |      5.43% |      6.16% |      6.31% |      5.86% |      5.90%
  mpki                               |       5.99 |       5.87 |       6.54 |       6.19 |       7.01 |       7.17 |       6.66 |       6.71
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17858 |      17841 |      17850 |      17909 |      17998 |      18059 |      18021 |      17993
    num cache misses                 |         24 |         25 |         25 |         25 |         23 |         25 |         25 |         25
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.13% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.25 |       0.25 |       0.25 |       0.23 |       0.25 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53012 |      52891 |      53023 |      53123 |      53511 |      53679 |      53507 |      53459
    num cache misses                 |       2110 |       2170 |       2238 |       2266 |       2485 |       2366 |       2306 |       2426
    miss rate                        |      3.98% |      4.10% |      4.22% |      4.27% |      4.64% |      4.41% |      4.31% |      4.54%
    mpki                             |      21.10 |      21.79 |      22.36 |      22.62 |      24.56 |      23.30 |      22.80 |      24.02
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2618 |       2766 |       2838 |       2902 |       3218 |       3070 |       2961 |       3156
    num cache misses                 |        982 |        838 |        948 |        936 |        892 |        764 |        775 |        974
    miss rate                        |     37.51% |     30.30% |     33.40% |     32.25% |     27.72% |     24.89% |     26.17% |     30.86%
    mpki                             |       9.82 |       8.41 |       9.47 |       9.34 |       8.82 |       7.52 |       7.66 |       9.64
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1249 |       1050 |       1230 |       1245 |       1236 |       1079 |       1074 |       1381
    num cache misses                 |         24 |         17 |         14 |         16 |         10 |         16 |         21 |         14
    miss rate                        |      1.92% |      1.62% |      1.14% |      1.29% |      0.81% |      1.48% |      1.96% |      1.01%
    mpki                             |       0.24 |       0.17 |       0.14 |       0.16 |       0.10 |       0.16 |       0.21 |       0.14
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     200.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     147.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          6 |          6 |          6 |          5 |          5 |          7 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
