                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     947962 |     849277 |     924773 |     973291 |     901146 |     945486 |    1012811 |     961009 |    1025314 |    1048930 |    1052283 |    1028942 |     953873 |    1040195 |     936336 |     765488
  Cycles                             |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932 |    1212932
  IPC                                |       0.78 |       0.70 |       0.76 |       0.80 |       0.74 |       0.78 |       0.84 |       0.79 |       0.85 |       0.86 |       0.87 |       0.85 |       0.79 |       0.86 |       0.77 |       0.63
  Time (ns)                          |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990 |     455990
  Idle time (ns)                     |     113600 |     162747 |     144082 |     117345 |     144461 |     131715 |      86851 |     122816 |      74481 |      77523 |      73500 |      91687 |     110535 |      71801 |     124597 |     193843
  Idle time (%)                      |      24.9% |      35.7% |      31.6% |      25.7% |      31.7% |      28.9% |      19.0% |      26.9% |      16.3% |      17.0% |      16.1% |      20.1% |      24.2% |      15.7% |      27.3% |      42.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     224001 |     199374 |     218243 |     230399 |     212358 |     223386 |     240204 |     227319 |     243181 |     249178 |     250006 |     244302 |     225508 |     247077 |     221068 |     178445
  num incorrect                      |        227 |        194 |        202 |        172 |        178 |        235 |        241 |        185 |        395 |        298 |        313 |        186 |        206 |        219 |        248 |        182
  misprediction rate                 |      0.10% |      0.10% |      0.09% |      0.07% |      0.08% |      0.11% |      0.10% |      0.08% |      0.16% |      0.12% |      0.13% |      0.08% |      0.09% |      0.09% |      0.11% |      0.10%
  mpki                               |       0.24 |       0.23 |       0.22 |       0.18 |       0.20 |       0.25 |       0.24 |       0.19 |       0.39 |       0.28 |       0.30 |       0.18 |       0.22 |       0.21 |       0.26 |       0.24
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12020 |      12014 |      12021 |      12016 |      12021 |      12021 |      12016 |      12016 |      12021 |      12021 |      12016 |      12016 |      12021 |      12019 |      12029 |      12020
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     483486 |     434159 |     471918 |     496175 |     460103 |     482273 |     515931 |     490043 |     522186 |     533991 |     535677 |     524010 |     486464 |     529626 |     477682 |     392278
    num cache misses                 |       7632 |       6341 |       6546 |       7270 |       6517 |       6639 |       7993 |       6615 |       8859 |       8642 |       8877 |       7773 |       7159 |       8004 |       6805 |       5279
    miss rate                        |      1.58% |      1.46% |      1.39% |      1.47% |      1.42% |      1.38% |      1.55% |      1.35% |      1.70% |      1.62% |      1.66% |      1.48% |      1.47% |      1.51% |      1.42% |      1.35%
    mpki                             |       8.05 |       7.47 |       7.08 |       7.47 |       7.23 |       7.02 |       7.89 |       6.88 |       8.64 |       8.24 |       8.44 |       7.55 |       7.51 |       7.69 |       7.27 |       6.90
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8528 |       7211 |       7445 |       8098 |       7381 |       7498 |       8781 |       7471 |       9719 |       9473 |       9663 |       8606 |       8061 |       8803 |       7673 |       6141
    num cache misses                 |       5109 |       4193 |       4292 |       4925 |       4402 |       4488 |       5651 |       4491 |       5619 |       5340 |       5425 |       5116 |       5085 |       5782 |       4733 |       3701
    miss rate                        |     59.91% |     58.15% |     57.65% |     60.82% |     59.64% |     59.86% |     64.35% |     60.11% |     57.81% |     56.37% |     56.14% |     59.45% |     63.08% |     65.68% |     61.68% |     60.27%
    mpki                             |       5.39 |       4.94 |       4.64 |       5.06 |       4.88 |       4.75 |       5.58 |       4.67 |       5.48 |       5.09 |       5.16 |       4.97 |       5.33 |       5.56 |       5.05 |       4.83
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5940 |       4958 |       5071 |       5643 |       5206 |       5286 |       6397 |       5249 |       6285 |       6013 |       6107 |       5767 |       5934 |       6541 |       5552 |       4472
    num cache misses                 |       4059 |       3330 |       3443 |       4009 |       3427 |       3540 |       4613 |       3549 |       4505 |       4284 |       4459 |       4265 |       4097 |       4279 |       3902 |       3094
    miss rate                        |     68.33% |     67.16% |     67.90% |     71.04% |     65.83% |     66.97% |     72.11% |     67.61% |     71.68% |     71.25% |     73.01% |     73.96% |     69.04% |     65.42% |     70.28% |     69.19%
    mpki                             |       4.28 |       3.92 |       3.72 |       4.12 |       3.80 |       3.74 |       4.55 |       3.69 |       4.39 |       4.08 |       4.24 |       4.15 |       4.30 |       4.11 |       4.17 |       4.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     204.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     151.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          6 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1436 |       1036 |        959 |       1091 |       1119 |       1048 |       1733 |       1020 |       1713 |       1466 |       1432 |       1207 |       1574 |       1570 |       1371 |        995
