                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   91642265 |   78943734 |   91272612 |   90231088 |   89982012 |   93546636 |   92086320 |   94249480 |   93361800 |   89933838 |   93700808 |   93030216 |   77363068 |   93359382 |   86084949 |   90934379
  Cycles                             |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472 |   52153472
  IPC                                |       1.76 |       1.51 |       1.75 |       1.73 |       1.73 |       1.79 |       1.77 |       1.81 |       1.79 |       1.72 |       1.80 |       1.78 |       1.48 |       1.79 |       1.65 |       1.74
  Time (ns)                          |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569 |   19606569
  Idle time (ns)                     |     805553 |    3254697 |     864611 |    1066107 |     904772 |     204542 |     482636 |      71782 |     221293 |     885575 |     145890 |     275565 |    3348375 |     180468 |    1624007 |     669141
  Idle time (%)                      |       4.1% |      16.6% |       4.4% |       5.4% |       4.6% |       1.0% |       2.5% |       0.4% |       1.1% |       4.5% |       0.7% |       1.4% |      17.1% |       0.9% |       8.3% |       3.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22673846 |   19499267 |   22581445 |   22321090 |   22258797 |   23149814 |   22784880 |   23325644 |   23103687 |   22246672 |   23188415 |   23020855 |   19104134 |   23103054 |   21284566 |   22496950
  num incorrect                      |        939 |        903 |        932 |        921 |        926 |       1059 |        916 |        954 |        984 |       1009 |       1009 |        929 |        866 |       1019 |        905 |        884
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     212018 |     212017 |     212018 |     212013 |     212018 |     212018 |     212018 |     212011 |     212018 |     212017 |     212018 |     212018 |     212017 |     212017 |     212017 |     212012
    num cache misses                 |         16 |         17 |         17 |         16 |         17 |         17 |         17 |         15 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   46077629 |   39728388 |   45892812 |   45372059 |   45247508 |   47029814 |   46299658 |   47381245 |   46937403 |   45223425 |   47106908 |   46771620 |   38938049 |   46936202 |   43298992 |   45723706
    num cache misses                 |      22220 |      19310 |      22195 |      21904 |      22097 |      22894 |      22620 |      23037 |      22973 |      22048 |      23014 |      22837 |      19150 |      22931 |      21168 |      22242
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.24 |       0.24 |       0.24 |       0.24 |       0.25 |       0.24 |       0.25 |       0.24 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23248 |      20315 |      23182 |      22888 |      23197 |      23944 |      23706 |      23973 |      24054 |      23076 |      24038 |      23864 |      20258 |      23977 |      22208 |      23306
    num cache misses                 |      12329 |      10720 |      12595 |      12311 |      12740 |      13268 |      13052 |      13365 |      13058 |      12599 |      13297 |      13191 |      10687 |      13411 |      12047 |      12726
    miss rate                        |     53.03% |     52.77% |     54.33% |     53.79% |     54.92% |     55.41% |     55.06% |     55.75% |     54.29% |     54.60% |     55.32% |     55.28% |     52.75% |     55.93% |     54.25% |     54.60%
    mpki                             |       0.13 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13528 |      11941 |      13815 |      13526 |      13960 |      14529 |      14288 |      14507 |      14262 |      13843 |      14528 |      14412 |      11894 |      14685 |      13266 |      13942
    num cache misses                 |      12323 |      10717 |      12594 |      12308 |      12735 |      13266 |      13049 |      13365 |      13055 |      12596 |      13293 |      13188 |      10682 |      13409 |      12047 |      12724
    miss rate                        |     91.09% |     89.75% |     91.16% |     91.00% |     91.22% |     91.31% |     91.33% |     92.13% |     91.54% |     90.99% |     91.50% |     91.51% |     89.81% |     91.31% |     90.81% |     91.26%
    mpki                             |       0.13 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      48737 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       2.75 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1761 |       1336 |       1552 |       1492 |       3822 |       3344 |       2951 |       2577 |       4306 |       3763 |       3353 |       2964 |       3908 |       4615 |       3465 |       3433
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3777 |       2980 |       3216 |       2780 |       1924 |       1835 |       1477 |       1533 |       1513 |       1213 |       1299 |       1047 |        925 |       1216 |        892 |        811
