                                     | Core 0     | Core 1    
  Instructions                       |     582449 |     561546
  Cycles                             |     485505 |     485505
  IPC                                |       1.20 |       1.16
  Time (ns)                          |     182521 |     182521
  Idle time (ns)                     |       9511 |      12449
  Idle time (%)                      |       5.2% |       6.8%
Branch predictor stats               |            |           
  num correct                        |     112044 |     106802
  num incorrect                      |        316 |        323
  misprediction rate                 |      0.28% |      0.30%
  mpki                               |       0.54 |       0.58
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32018 |      32025
    num cache misses                 |         16 |         17
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     322750 |     312295
    num cache misses                 |       2072 |       2031
    miss rate                        |      0.64% |      0.65%
    mpki                             |       3.56 |       3.62
  Cache L2                           |            |           
    num cache accesses               |       2859 |       2864
    num cache misses                 |         18 |         15
    miss rate                        |      0.63% |      0.52%
    mpki                             |       0.03 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         19 |         19
    num cache misses                 |         18 |         15
    miss rate                        |     94.74% |     78.95%
    mpki                             |       0.03 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         32 |          0
  average dram access latency (ns)   |      90.35 |        inf
  average dram queueing delay        |      36.93 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
