                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     129934 |     174044 |     115353 |     172886 |     141951 |     176822 |     153933 |     137190 |     175401 |     164040 |     174864 |     153141 |     126877 |     138975 |     180873 |     164865
  Cycles                             |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300 |     514300
  IPC                                |       0.25 |       0.34 |       0.22 |       0.34 |       0.28 |       0.34 |       0.30 |       0.27 |       0.34 |       0.32 |       0.34 |       0.30 |       0.25 |       0.27 |       0.35 |       0.32
  Time (ns)                          |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346 |     193346
  Idle time (ns)                     |      98320 |      74517 |     128355 |      79113 |     105020 |      73168 |      94228 |     105221 |      74448 |      83334 |      74302 |      84803 |     115502 |     105691 |      71557 |      79286
  Idle time (%)                      |      50.9% |      38.5% |      66.4% |      40.9% |      54.3% |      37.8% |      48.7% |      54.4% |      38.5% |      43.1% |      38.4% |      43.9% |      59.7% |      54.7% |      37.0% |      41.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      14394 |      21711 |      11988 |      21530 |      16404 |      22180 |      18387 |      15606 |      21926 |      20060 |      21858 |      18234 |      13909 |      15902 |      22847 |      20183
  num incorrect                      |        101 |        143 |         79 |        127 |         96 |        135 |        110 |        101 |        141 |        127 |        131 |        131 |         84 |         94 |        140 |        128
  misprediction rate                 |      0.70% |      0.65% |      0.65% |      0.59% |      0.58% |      0.60% |      0.59% |      0.64% |      0.64% |      0.63% |      0.60% |      0.71% |      0.60% |      0.59% |      0.61% |      0.63%
  mpki                               |       0.78 |       0.82 |       0.68 |       0.73 |       0.68 |       0.76 |       0.71 |       0.74 |       0.80 |       0.77 |       0.75 |       0.86 |       0.66 |       0.68 |       0.77 |       0.78
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13017 |      13012 |      13020 |      13015 |      13020 |      13013 |      13020 |      13015 |      13015 |      13012 |      13013 |      13020 |      13012 |      13015 |      13018 |      13015
    num cache misses                 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         15 |         16 |         16 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.12 |       0.09 |       0.14 |       0.09 |       0.11 |       0.09 |       0.10 |       0.12 |       0.09 |       0.09 |       0.09 |       0.10 |       0.12 |       0.12 |       0.09 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      74495 |      96563 |      67210 |      95985 |      80509 |      97953 |      86500 |      78137 |      97217 |      91562 |      96973 |      86104 |      72980 |      79004 |      99971 |      91949
