                                     | Core 0     | Core 1    
  Instructions                       |      83213 |      83229
  Cycles                             |      81568 |      81568
  IPC                                |       1.02 |       1.02
  Time (ns)                          |      30665 |      30665
  Idle time (ns)                     |      13082 |      12508
  Idle time (%)                      |      42.7% |      40.8%
Branch predictor stats               |            |           
  num correct                        |       7778 |       7775
  num incorrect                      |         29 |         43
  misprediction rate                 |      0.37% |      0.55%
  mpki                               |       0.35 |       0.52
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      14018 |      14013
    num cache misses                 |         16 |         16
    miss rate                        |      0.11% |      0.11%
    mpki                             |       0.19 |       0.19
  Cache L1-D                         |            |           
    num cache accesses               |      50638 |      50653
    num cache misses                 |        110 |        123
    miss rate                        |      0.22% |      0.24%
    mpki                             |       1.32 |       1.48
  Cache L2                           |            |           
    num cache accesses               |        191 |        184
    num cache misses                 |        126 |        140
    miss rate                        |     65.97% |     76.09%
    mpki                             |       1.51 |       1.68
  Cache L3                           |            |           
    num cache accesses               |        191 |        184
    num cache misses                 |        126 |        140
    miss rate                        |     65.97% |     76.09%
    mpki                             |       1.51 |       1.68
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |      76.79 |        inf
  average dram queueing delay        |      23.36 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |         54 |         81
