                                     | Core 0     | Core 1    
  Instructions                       |     323511 |     408374
  Cycles                             |     389208 |     389208
  IPC                                |       0.83 |       1.05
  Time (ns)                          |     146319 |     146319
  Idle time (ns)                     |      27169 |      14471
  Idle time (%)                      |      18.6% |       9.9%
Branch predictor stats               |            |           
  num correct                        |      40766 |      57737
  num incorrect                      |        342 |        345
  misprediction rate                 |      0.83% |      0.59%
  mpki                               |       1.06 |       0.84
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31018 |      31018
    num cache misses                 |         16 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.05 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     208334 |     259255
    num cache misses                 |       2273 |       2520
    miss rate                        |      1.09% |      0.97%
    mpki                             |       7.03 |       6.17
  Cache L2                           |            |           
    num cache accesses               |       2659 |       2659
    num cache misses                 |         25 |          7
    miss rate                        |      0.94% |      0.26%
    mpki                             |       0.08 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         27 |         10
    num cache misses                 |         25 |          7
    miss rate                        |     92.59% |     70.00%
    mpki                             |       0.08 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      98.08 |        inf
  average dram queueing delay        |      44.65 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
