                                     | Core 0     | Core 1    
  Instructions                       |     219801 |     219991
  Cycles                             |    1637876 |    1637876
  IPC                                |       0.13 |       0.13
  Time (ns)                          |     615743 |     615743
  Idle time (ns)                     |     480107 |     480111
  Idle time (%)                      |      78.0% |      78.0%
Branch predictor stats               |            |           
  num correct                        |      19659 |      19668
  num incorrect                      |        883 |        892
  misprediction rate                 |      4.30% |      4.34%
  mpki                               |       4.02 |       4.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18233 |      18256
    num cache misses                 |         24 |         24
    miss rate                        |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135393 |     135474
    num cache misses                 |       1388 |       1323
    miss rate                        |      1.03% |      0.98%
    mpki                             |       6.31 |       6.01
  Cache L2                           |            |           
    num cache accesses               |       1929 |       1930
    num cache misses                 |         27 |         20
    miss rate                        |      1.40% |      1.04%
    mpki                             |       0.12 |       0.09
  Cache L3                           |            |           
    num cache accesses               |         29 |         23
    num cache misses                 |         27 |         20
    miss rate                        |     93.10% |     86.96%
    mpki                             |       0.12 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |     138.21 |        inf
  average dram queueing delay        |      84.78 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
