                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1401560 |    1403169 |    1400966 |    1403606 |    1402370 |    1402006 |    1403933 |    1403012 |    1402150 |    1402396 |    1403536 |    1400947 |    1401885 |    1402542 |    1402910 |    1403890
  Cycles                             |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088 |  101971088
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996 |   38334996
  Idle time (ns)                     |   36923668 |   36917415 |   36924950 |   36916741 |   36920397 |   36920025 |   36912651 |   36916890 |   36933385 |   36933831 |   36927135 |   36938504 |   36936842 |   36933862 |   36932318 |   36928804
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.4% |      96.4% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110634 |     110822 |     110522 |     110844 |     110734 |     110673 |     110873 |     110771 |     110684 |     110707 |     110795 |     110516 |     110625 |     110756 |     110706 |     110884
  num incorrect                      |        355 |        390 |        376 |        420 |        369 |        382 |        440 |        408 |        384 |        395 |        456 |        380 |        403 |        369 |        449 |        422
  misprediction rate                 |      0.32% |      0.35% |      0.34% |      0.38% |      0.33% |      0.34% |      0.40% |      0.37% |      0.35% |      0.36% |      0.41% |      0.34% |      0.36% |      0.33% |      0.40% |      0.38%
