                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1277079 |    1231393 |    1158408 |    1362326
  Cycles                             |    1322439 |    1322439 |    1322439 |    1322439
  IPC                                |       0.97 |       0.93 |       0.88 |       1.03
  Time (ns)                          |     497158 |     497158 |     497158 |     497158
  Idle time (ns)                     |      46866 |      59998 |      82566 |      37294
  Idle time (%)                      |       9.4% |      12.1% |      16.6% |       7.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     285843 |     274431 |     256226 |     307208
  num incorrect                      |        423 |        420 |        378 |        377
  misprediction rate                 |      0.15% |      0.15% |      0.15% |      0.12%
  mpki                               |       0.33 |       0.34 |       0.33 |       0.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      30018 |      30016 |      30021 |      30017
    num cache misses                 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     670566 |     647735 |     611236 |     713198
    num cache misses                 |       4587 |       4416 |       4144 |       4546
    miss rate                        |      0.68% |      0.68% |      0.68% |      0.64%
    mpki                             |       3.59 |       3.59 |       3.58 |       3.34
  Cache L2                           |            |            |            |           
    num cache accesses               |       5676 |       5378 |       5062 |       5304
    num cache misses                 |       4602 |       4431 |       4159 |       4562
    miss rate                        |     81.08% |     82.39% |     82.16% |     86.01%
    mpki                             |       3.60 |       3.60 |       3.59 |       3.35
  Cache L3                           |            |            |            |           
    num cache accesses               |       5676 |       5378 |       5062 |       5304
    num cache misses                 |         12 |          5 |          8 |         12
    miss rate                        |      0.21% |      0.09% |      0.16% |      0.23%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     112.98 |        inf |        inf |        inf
  average dram queueing delay        |      59.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
