                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     592252 |     663935 |     645993 |     497451 |     610528 |     377517 |     645932 |     581449
  Cycles                             |     684635 |     684635 |     684635 |     684635 |     684635 |     684635 |     684635 |     684635
  IPC                                |       0.87 |       0.97 |       0.94 |       0.73 |       0.89 |       0.55 |       0.94 |       0.85
  Time (ns)                          |     257382 |     257382 |     257382 |     257382 |     257382 |     257382 |     257382 |     257382
  Idle time (ns)                     |      89247 |      84487 |      83216 |     127083 |      83054 |     154299 |      84085 |     103928
  Idle time (%)                      |      34.7% |      32.8% |      32.3% |      49.4% |      32.3% |      59.9% |      32.7% |      40.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     134971 |     152891 |     148359 |     111273 |     139456 |      81414 |     148338 |     132277
  num incorrect                      |        336 |        340 |        372 |        337 |        420 |        217 |        380 |        336
  misprediction rate                 |      0.25% |      0.22% |      0.25% |      0.30% |      0.30% |      0.27% |      0.26% |      0.25%
  mpki                               |       0.57 |       0.51 |       0.58 |       0.68 |       0.69 |       0.57 |       0.59 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      12020 |      12021 |      12027 |      12021 |      12021 |      12021 |      12021 |      12021
    num cache misses                 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.03 |       0.02 |       0.04 |       0.02 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     305647 |     341496 |     332511 |     258254 |     314787 |     198290 |     332474 |     300255
    num cache misses                 |       4497 |       4593 |       4479 |       3284 |       4528 |       2650 |       4462 |       3848
    miss rate                        |      1.47% |      1.34% |      1.35% |      1.27% |      1.44% |      1.34% |      1.34% |      1.28%
    mpki                             |       7.59 |       6.92 |       6.93 |       6.60 |       7.42 |       7.02 |       6.91 |       6.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5385 |       5267 |       5247 |       4042 |       5271 |       3436 |       5176 |       4507
    num cache misses                 |       1449 |       1174 |       1277 |        862 |       1607 |        888 |       1330 |       1108
    miss rate                        |     26.91% |     22.29% |     24.34% |     21.33% |     30.49% |     25.84% |     25.70% |     24.58%
    mpki                             |       2.45 |       1.77 |       1.98 |       1.73 |       2.63 |       2.35 |       2.06 |       1.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2074 |       1567 |       1786 |       1337 |       2116 |       1448 |       1716 |       1482
    num cache misses                 |         20 |          3 |         10 |          3 |          4 |          4 |          3 |          3
    miss rate                        |      0.96% |      0.19% |      0.56% |      0.22% |      0.19% |      0.28% |      0.17% |      0.20%
    mpki                             |       0.03 |       0.00 |       0.02 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     131.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      77.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          3 |          5 |          3 |          4 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
