                                     | Core 0     | Core 1    
  Instructions                       |     355581 |     362357
  Cycles                             |     465938 |     465938
  IPC                                |       0.76 |       0.78
  Time (ns)                          |     175165 |     175165
  Idle time (ns)                     |      14658 |      12458
  Idle time (%)                      |       8.4% |       7.1%
Branch predictor stats               |            |           
  num correct                        |      41442 |      42576
  num incorrect                      |        162 |        158
  misprediction rate                 |      0.39% |      0.37%
  mpki                               |       0.46 |       0.44
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31017 |      31018
    num cache misses                 |         16 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     209822 |     213212
    num cache misses                 |       3045 |       3042
    miss rate                        |      1.45% |      1.43%
    mpki                             |       8.56 |       8.40
  Cache L2                           |            |           
    num cache accesses               |       3102 |       3102
    num cache misses                 |         26 |          6
    miss rate                        |      0.84% |      0.19%
    mpki                             |       0.07 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         28 |          9
    num cache misses                 |         26 |          6
    miss rate                        |     92.86% |     66.67%
    mpki                             |       0.07 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      84.55 |        inf
  average dram queueing delay        |      31.13 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
