                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1190650 |     999067 |     874377 |     953022 |    1141261 |    1012022 |    1197412 |    1150747
  Cycles                             |    1930261 |    1930261 |    1930261 |    1930261 |    1930261 |    1930261 |    1930261 |    1930261
  IPC                                |       0.62 |       0.52 |       0.45 |       0.49 |       0.59 |       0.52 |       0.62 |       0.60
  Time (ns)                          |     725662 |     725662 |     725662 |     725662 |     725662 |     725662 |     725662 |     725662
  Idle time (ns)                     |      14458 |     140087 |     158335 |      96476 |     156561 |      41969 |      36622 |      92072
  Idle time (%)                      |       2.0% |      19.3% |      21.8% |      13.3% |      21.6% |       5.8% |       5.0% |      12.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     214188 |     175954 |     150993 |     166721 |     204367 |     178507 |     215546 |     206236
  num incorrect                      |        347 |        268 |        291 |        292 |        295 |        309 |        348 |        325
  misprediction rate                 |      0.16% |      0.15% |      0.19% |      0.17% |      0.14% |      0.17% |      0.16% |      0.16%
  mpki                               |       0.29 |       0.27 |       0.33 |       0.31 |       0.26 |       0.31 |       0.29 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31016 |      31016 |      31016 |      31016 |      31016 |      31014 |      31014 |      31014
    num cache misses                 |         14 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     728616 |     613681 |     538867 |     586054 |     698999 |     621456 |     732690 |     704691
    num cache misses                 |      64050 |      51921 |      46470 |      49221 |      68862 |      58574 |      69406 |      67124
    miss rate                        |      8.79% |      8.46% |      8.62% |      8.40% |      9.85% |      9.43% |      9.47% |      9.53%
    mpki                             |      53.79 |      51.97 |      53.15 |      51.65 |      60.34 |      57.88 |      57.96 |      58.33
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      64346 |      52192 |      46678 |      49538 |      69121 |      58844 |      69720 |      67422
    num cache misses                 |      14744 |      12038 |      10798 |      11593 |      12701 |      11812 |      13457 |      12907
    miss rate                        |     22.91% |     23.06% |     23.13% |     23.40% |     18.38% |     20.07% |     19.30% |     19.14%
    mpki                             |      12.38 |      12.05 |      12.35 |      12.16 |      11.13 |      11.67 |      11.24 |      11.22
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14969 |      12227 |      10937 |      11829 |      12879 |      11982 |      13673 |      13108
    num cache misses                 |      14742 |      12036 |      10796 |      11593 |      12700 |      11811 |      13456 |      12907
    miss rate                        |     98.48% |     98.44% |     98.71% |     98.00% |     98.61% |     98.57% |     98.41% |     98.47%
    mpki                             |      12.38 |      12.05 |      12.35 |      12.16 |      11.13 |      11.67 |      11.24 |      11.22
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      74.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          6 |          4 |          3 |          4 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        203 |        166 |        119 |        207 |        162 |        155 |        199 |        184
