                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     159321 |     136440 |     160555 |     136731 |     114486 |     164606 |     158629 |     144438 |     140176 |     152560 |     146563 |     167134 |     150891 |     142947 |     150937 |     132498
  Cycles                             |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616 |     880616
  IPC                                |       0.18 |       0.15 |       0.18 |       0.16 |       0.13 |       0.19 |       0.18 |       0.16 |       0.16 |       0.17 |       0.17 |       0.19 |       0.17 |       0.16 |       0.17 |       0.15
  Time (ns)                          |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059 |     331059
  Idle time (ns)                     |      71377 |     125773 |      72329 |     128266 |     173835 |      72711 |      70744 |      96621 |     124430 |      91024 |     104073 |      77697 |      90180 |     100511 |      93857 |     129637
  Idle time (%)                      |      21.6% |      38.0% |      21.8% |      38.7% |      52.5% |      22.0% |      21.4% |      29.2% |      37.6% |      27.5% |      31.4% |      23.5% |      27.2% |      30.4% |      28.4% |      39.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19217 |      15428 |      19424 |      15479 |      11815 |      20109 |      19087 |      16763 |      16007 |      18130 |      17023 |      20505 |      17769 |      16501 |      17754 |      14733
  num incorrect                      |        178 |        150 |        181 |        151 |        104 |        168 |        192 |        148 |        194 |        139 |        246 |        191 |        221 |        165 |        248 |        192
  misprediction rate                 |      0.92% |      0.96% |      0.92% |      0.97% |      0.87% |      0.83% |      1.00% |      0.88% |      1.20% |      0.76% |      1.42% |      0.92% |      1.23% |      0.99% |      1.38% |      1.29%
  mpki                               |       1.12 |       1.10 |       1.13 |       1.10 |       0.91 |       1.02 |       1.21 |       1.02 |       1.38 |       0.91 |       1.68 |       1.14 |       1.46 |       1.15 |       1.64 |       1.45
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13019 |      13024 |      13011 |      13020 |      13024 |      13015 |      13018 |      13024 |      13021 |      13021 |      13021 |      13018 |      13020 |      13020 |      13011 |      13012
    num cache misses                 |         16 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.12 |       0.09 |       0.11 |       0.14 |       0.10 |       0.09 |       0.11 |       0.11 |       0.10 |       0.10 |       0.09 |       0.10 |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      89188 |      77746 |      89820 |      77893 |      66769 |      91845 |      88842 |      81745 |      79607 |      85806 |      82807 |      93098 |      84973 |      81001 |      85011 |      75776
    num cache misses                 |       9742 |       7145 |       9141 |       7168 |       5432 |       8615 |       8816 |       7861 |       7820 |       8711 |       7996 |       9127 |       8376 |       7882 |       8260 |       7021
    miss rate                        |     10.92% |      9.19% |     10.18% |      9.20% |      8.14% |      9.38% |      9.92% |      9.62% |      9.82% |     10.15% |      9.66% |      9.80% |      9.86% |      9.73% |      9.72% |      9.27%
    mpki                             |      61.15 |      52.37 |      56.93 |      52.42 |      47.45 |      52.34 |      55.58 |      54.42 |      55.79 |      57.10 |      54.56 |      54.61 |      55.51 |      55.14 |      54.72 |      52.99
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10115 |       7436 |       9561 |       7464 |       5666 |       8898 |       9153 |       8170 |       8125 |       9042 |       8259 |       9479 |       8741 |       8192 |       8569 |       7276
    num cache misses                 |       6900 |       4884 |       6428 |       4907 |       4037 |       6217 |       6325 |       5770 |       5381 |       5942 |       5415 |       6075 |       5926 |       5695 |       5796 |       4906
    miss rate                        |     68.22% |     65.68% |     67.23% |     65.74% |     71.25% |     69.87% |     69.10% |     70.62% |     66.23% |     65.72% |     65.56% |     64.09% |     67.80% |     69.52% |     67.64% |     67.43%
    mpki                             |      43.31 |      35.80 |      40.04 |      35.89 |      35.26 |      37.77 |      39.87 |      39.95 |      38.39 |      38.95 |      36.95 |      36.35 |      39.27 |      39.84 |      38.40 |      37.03
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
