                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2431972 |    2697344 |    2575653 |    2625874 |    2758715 |    2769826 |    2564804 |    1877478 |    2638722 |    2504950 |    2649041 |    2658173 |    1885928 |    2216132 |    2759172 |    2701631
  Cycles                             |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766 |    4669766
  IPC                                |       0.52 |       0.58 |       0.55 |       0.56 |       0.59 |       0.59 |       0.55 |       0.40 |       0.57 |       0.54 |       0.57 |       0.57 |       0.40 |       0.47 |       0.59 |       0.58
  Time (ns)                          |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551 |    1755551
  Idle time (ns)                     |     265481 |     115538 |     172523 |     157723 |      71870 |      71760 |     163961 |     543912 |     136738 |     208636 |     143351 |     124101 |     539819 |     322974 |      92255 |      99934
  Idle time (%)                      |      15.1% |       6.6% |       9.8% |       9.0% |       4.1% |       4.1% |       9.3% |      31.0% |       7.8% |      11.9% |       8.2% |       7.1% |      30.7% |      18.4% |       5.3% |       5.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     574487 |     640947 |     610500 |     623017 |     656270 |     659004 |     607764 |     435960 |     626328 |     592868 |     628880 |     631046 |     438147 |     520754 |     656334 |     642025
  num incorrect                      |        497 |        385 |        421 |        457 |        408 |        459 |        441 |        407 |        360 |        372 |        387 |        499 |        342 |        289 |        458 |        391
  misprediction rate                 |      0.09% |      0.06% |      0.07% |      0.07% |      0.06% |      0.07% |      0.07% |      0.09% |      0.06% |      0.06% |      0.06% |      0.08% |      0.08% |      0.06% |      0.07% |      0.06%
  mpki                               |       0.20 |       0.14 |       0.16 |       0.17 |       0.15 |       0.17 |       0.17 |       0.22 |       0.14 |       0.15 |       0.15 |       0.19 |       0.18 |       0.13 |       0.17 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30018 |      30016 |      30013 |      30013 |      30014 |      30010 |      30012 |      30016 |      30012 |      30016 |      30012 |      30014 |      30012 |      30012 |      30016 |      30012
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1248009 |    1380706 |    1319863 |    1344972 |    1411391 |    1416951 |    1314438 |     970774 |    1351399 |    1284514 |    1356558 |    1361122 |     975002 |    1140106 |    1411622 |    1382854
    num cache misses                 |      13280 |      12339 |      11708 |      11906 |      12736 |      12751 |      11864 |       8989 |      12113 |      11499 |      11948 |      12224 |       8824 |      10544 |      12426 |      12427
    miss rate                        |      1.06% |      0.89% |      0.89% |      0.89% |      0.90% |      0.90% |      0.90% |      0.93% |      0.90% |      0.90% |      0.88% |      0.90% |      0.91% |      0.92% |      0.88% |      0.90%
    mpki                             |       5.46 |       4.57 |       4.55 |       4.53 |       4.62 |       4.60 |       4.63 |       4.79 |       4.59 |       4.59 |       4.51 |       4.60 |       4.68 |       4.76 |       4.50 |       4.60
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14409 |      13314 |      12689 |      12853 |      13709 |      13637 |      12857 |       9953 |      13062 |      12451 |      12859 |      13180 |       9843 |      11510 |      13379 |      13362
    num cache misses                 |      13295 |      12354 |      11723 |      11921 |      12751 |      12765 |      11879 |       9004 |      12128 |      11514 |      11963 |      12240 |       8839 |      10559 |      12441 |      12442
    miss rate                        |     92.27% |     92.79% |     92.39% |     92.75% |     93.01% |     93.61% |     92.39% |     90.47% |     92.85% |     92.47% |     93.03% |     92.87% |     89.80% |     91.74% |     92.99% |     93.11%
    mpki                             |       5.47 |       4.58 |       4.55 |       4.54 |       4.62 |       4.61 |       4.63 |       4.80 |       4.60 |       4.60 |       4.52 |       4.60 |       4.69 |       4.76 |       4.51 |       4.61
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14409 |      13314 |      12689 |      12853 |      13709 |      13637 |      12857 |       9953 |      13062 |      12451 |      12859 |      13180 |       9843 |      11510 |      13379 |      13362
    num cache misses                 |      13295 |      12354 |      11723 |      11921 |      12751 |      12765 |      11879 |       9004 |      12128 |      11514 |      11963 |      12240 |       8839 |      10559 |      12441 |      12442
    miss rate                        |     92.27% |     92.79% |     92.39% |     92.75% |     93.01% |     93.61% |     92.39% |     90.47% |     92.85% |     92.47% |     93.03% |     92.87% |     89.80% |     91.74% |     92.99% |     93.11%
    mpki                             |       5.47 |       4.58 |       4.55 |       4.54 |       4.62 |       4.61 |       4.63 |       4.80 |       4.60 |       4.60 |       4.52 |       4.60 |       4.69 |       4.76 |       4.51 |       4.61
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     155987 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      87.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      34.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     74.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
