                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     103042 |     103372 |     102652 |     103510 |     103147 |     103122 |     104001 |     103496 |     103080 |     104211 |     101457 |     101392 |     103736 |     103364 |     101342 |     103960
  Cycles                             |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424 |    4282424
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934 |    1609934
  Idle time (ns)                     |    1531315 |    1528306 |    1534086 |    1528593 |    1528074 |    1526436 |    1518391 |    1525145 |    1522648 |    1514776 |    1533453 |    1531097 |    1521460 |    1522464 |    1534527 |    1522420
  Idle time (%)                      |      95.1% |      94.9% |      95.3% |      94.9% |      94.9% |      94.8% |      94.3% |      94.7% |      94.6% |      94.1% |      95.2% |      95.1% |      94.5% |      94.6% |      95.3% |      94.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10910 |      10903 |      10908 |      10868 |      10905 |      10941 |      10914 |      10977 |      10930 |      10932 |      10913 |      10853 |      10971 |      10916 |      10869 |      10875
  num incorrect                      |        724 |        754 |        716 |        769 |        724 |        724 |        798 |        743 |        716 |        788 |        606 |        651 |        726 |        774 |        648 |        803
  misprediction rate                 |      6.22% |      6.47% |      6.16% |      6.61% |      6.23% |      6.21% |      6.81% |      6.34% |      6.15% |      6.72% |      5.26% |      5.66% |      6.21% |      6.62% |      5.63% |      6.88%
  mpki                               |       7.03 |       7.29 |       6.98 |       7.43 |       7.02 |       7.02 |       7.67 |       7.18 |       6.95 |       7.56 |       5.97 |       6.42 |       7.00 |       7.49 |       6.39 |       7.72
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18214 |      18247 |      18151 |      18303 |      18240 |      18194 |      18314 |      18222 |      18211 |      18340 |      18026 |      18037 |      18275 |      18228 |      18011 |      18342
    num cache misses                 |         24 |         25 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         23 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.13% |      0.14% |      0.13% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.13% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.23 |       0.24 |       0.23 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.22 |       0.25 |       0.25 |       0.24 |       0.24 |       0.25 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      54243 |      54370 |      54055 |      54482 |      54296 |      54233 |      54617 |      54350 |      54235 |      54706 |      53587 |      53589 |      54503 |      54324 |      53550 |      54647
    num cache misses                 |       2589 |       2633 |       2529 |       2680 |       2297 |       2312 |       2701 |       2369 |       2363 |       2655 |       2032 |       1935 |       2565 |       2435 |       1955 |       2449
    miss rate                        |      4.77% |      4.84% |      4.68% |      4.92% |      4.23% |      4.26% |      4.95% |      4.36% |      4.36% |      4.85% |      3.79% |      3.61% |      4.71% |      4.48% |      3.65% |      4.48%
    mpki                             |      25.13 |      25.47 |      24.64 |      25.89 |      22.27 |      22.42 |      25.97 |      22.89 |      22.92 |      25.48 |      20.03 |      19.08 |      24.73 |      23.56 |      19.29 |      23.56
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3589 |       3618 |       3427 |       3657 |       3155 |       3111 |       3731 |       3245 |       3282 |       3675 |       2818 |       2654 |       3524 |       3397 |       2713 |       3366
    num cache misses                 |       2138 |       2173 |       2028 |       2161 |       1879 |       1824 |       2226 |       1972 |       2040 |       2299 |       1717 |       1636 |       2094 |       2006 |       1700 |       2001
    miss rate                        |     59.57% |     60.06% |     59.18% |     59.09% |     59.56% |     58.63% |     59.66% |     60.77% |     62.16% |     62.56% |     60.93% |     61.64% |     59.42% |     59.05% |     62.66% |     59.45%
    mpki                             |      20.75 |      21.02 |      19.76 |      20.88 |      18.22 |      17.69 |      21.40 |      19.05 |      19.79 |      22.06 |      16.92 |      16.14 |      20.19 |      19.41 |      16.77 |      19.25
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2989 |       3023 |       2784 |       2993 |       2610 |       2516 |       3118 |       2744 |       2862 |       3229 |       2402 |       2273 |       2929 |       2837 |       2379 |       2797
    num cache misses                 |       2123 |       2156 |       1993 |       2143 |       1864 |       1808 |       2205 |       1949 |       2026 |       2283 |       1707 |       1621 |       2072 |       1987 |       1689 |       1979
    miss rate                        |     71.03% |     71.32% |     71.59% |     71.60% |     71.42% |     71.86% |     70.72% |     71.03% |     70.79% |     70.70% |     71.07% |     71.32% |     70.74% |     70.04% |     71.00% |     70.75%
    mpki                             |      20.60 |      20.86 |      19.42 |      20.70 |      18.07 |      17.53 |      21.20 |      18.83 |      19.65 |      21.91 |      16.82 |      15.99 |      19.97 |      19.22 |      16.67 |      19.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       2521 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.82 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      24.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        132 |        122 |        102 |        127 |         97 |         93 |        124 |        107 |        106 |        129 |         81 |         80 |         99 |        104 |         82 |         98
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        954 |        982 |        890 |        956 |        858 |        814 |       1000 |        891 |        970 |       1077 |        819 |        755 |        972 |        910 |        823 |        952
