                                     | Core 0     | Core 1    
  Instructions                       |      97202 |      97216
  Cycles                             |     602445 |     602445
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     226483 |     226483
  Idle time (ns)                     |     201484 |     200836
  Idle time (%)                      |      89.0% |      88.7%
Branch predictor stats               |            |           
  num correct                        |      10839 |      10790
  num incorrect                      |        414 |        442
  misprediction rate                 |      3.68% |      3.94%
  mpki                               |       4.26 |       4.55
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17532 |      17551
    num cache misses                 |         22 |         25
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.23 |       0.26
  Cache L1-D                         |            |           
    num cache accesses               |      51882 |      51911
    num cache misses                 |       1552 |       1680
    miss rate                        |      2.99% |      3.24%
    mpki                             |      15.97 |      17.28
  Cache L2                           |            |           
    num cache accesses               |       2274 |       2275
    num cache misses                 |         34 |         12
    miss rate                        |      1.50% |      0.53%
    mpki                             |       0.35 |       0.12
  Cache L3                           |            |           
    num cache accesses               |         36 |         15
    num cache misses                 |         34 |         12
    miss rate                        |     94.44% |     80.00%
    mpki                             |       0.35 |       0.12
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     118.64 |        inf
  average dram queueing delay        |      65.21 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
