                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     529225 |     486373 |     579384 |     436808
  Cycles                             |    1271606 |    1271606 |    1271606 |    1271606
  IPC                                |       0.42 |       0.38 |       0.46 |       0.34
  Time (ns)                          |     478048 |     478048 |     478048 |     478048
  Idle time (ns)                     |      14445 |      67474 |      22219 |     113388
  Idle time (%)                      |       3.0% |      14.1% |       4.6% |      23.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      82030 |      73482 |      92011 |      63584
  num incorrect                      |        220 |        201 |        276 |        189
  misprediction rate                 |      0.27% |      0.27% |      0.30% |      0.30%
  mpki                               |       0.42 |       0.41 |       0.48 |       0.43
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31016 |      31016 |      31016 |      31015
    num cache misses                 |         14 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     331761 |     306065 |     361873 |     276326
    num cache misses                 |      12030 |      10098 |      11412 |       8763
    miss rate                        |      3.63% |      3.30% |      3.15% |      3.17%
    mpki                             |      22.73 |      20.76 |      19.70 |      20.06
  Cache L2                           |            |            |            |           
    num cache accesses               |      12255 |      10317 |      11684 |       8961
    num cache misses                 |      12044 |      10114 |      11429 |       8779
    miss rate                        |     98.28% |     98.03% |     97.82% |     97.97%
    mpki                             |      22.76 |      20.79 |      19.73 |      20.10
  Cache L3                           |            |            |            |           
    num cache accesses               |      12255 |      10317 |      11684 |       8961
    num cache misses                 |      12044 |      10114 |      11429 |       8779
    miss rate                        |     98.28% |     98.03% |     97.82% |     97.97%
    mpki                             |      22.76 |      20.79 |      19.73 |      20.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         84 |          0 |          0 |          0
  average dram access latency (ns)   |      91.44 |        inf |        inf |        inf
  average dram queueing delay        |      38.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          8 |         11 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        199 |        191 |        243 |        172
