                                     | Core 0     | Core 1    
  Instructions                       |      78165 |      83042
  Cycles                             |      73857 |      73857
  IPC                                |       1.06 |       1.12
  Time (ns)                          |      27766 |      27766
  Idle time (ns)                     |      13779 |      12538
  Idle time (%)                      |      49.6% |      45.2%
Branch predictor stats               |            |           
  num correct                        |       6765 |       7981
  num incorrect                      |         30 |         43
  misprediction rate                 |      0.44% |      0.54%
  mpki                               |       0.38 |       0.52
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12018 |      12010
    num cache misses                 |         15 |         14
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.19 |       0.17
  Cache L1-D                         |            |           
    num cache accesses               |      48614 |      51064
    num cache misses                 |         87 |        155
    miss rate                        |      0.18% |      0.30%
    mpki                             |       1.11 |       1.87
  Cache L2                           |            |           
    num cache accesses               |        183 |        180
    num cache misses                 |         25 |          4
    miss rate                        |     13.66% |      2.22%
    mpki                             |       0.32 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         27 |          7
    num cache misses                 |         25 |          4
    miss rate                        |     92.59% |     57.14%
    mpki                             |       0.32 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      79.12 |        inf
  average dram queueing delay        |      25.69 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
