                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     257731 |     146830 |     146978 |     207918
  Cycles                             |     183349 |     183349 |     183349 |     183349
  IPC                                |       1.41 |       0.80 |       0.80 |       1.13
  Time (ns)                          |      68929 |      68929 |      68929 |      68929
  Idle time (ns)                     |      14470 |      37582 |      37498 |      26921
  Idle time (%)                      |      21.0% |      54.5% |      54.4% |      39.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      51162 |      23534 |      23562 |      38829
  num incorrect                      |        266 |        175 |        188 |        156
  misprediction rate                 |      0.52% |      0.74% |      0.79% |      0.40%
  mpki                               |       1.03 |       1.19 |       1.28 |       0.75
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      14016 |      14020 |      14021 |      14021
    num cache misses                 |         14 |         17 |         17 |         17
    miss rate                        |      0.10% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.05 |       0.12 |       0.12 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     137888 |      82447 |      82519 |     112993
    num cache misses                 |       2714 |       2129 |       2276 |       2191
    miss rate                        |      1.97% |      2.58% |      2.76% |      1.94%
    mpki                             |      10.53 |      14.50 |      15.49 |      10.54
  Cache L2                           |            |            |            |           
    num cache accesses               |       3256 |       2705 |       2846 |       2650
    num cache misses                 |         13 |         16 |          5 |          5
    miss rate                        |      0.40% |      0.59% |      0.18% |      0.19%
    mpki                             |       0.05 |       0.11 |       0.03 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         14 |         20 |          8 |          8
    num cache misses                 |         13 |         16 |          5 |          5
    miss rate                        |     92.86% |     80.00% |     62.50% |     62.50%
    mpki                             |       0.05 |       0.11 |       0.03 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |      90.34 |        inf |        inf |        inf
  average dram queueing delay        |      36.91 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          7 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
