                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     412737 |     639534 |     648135 |     667761 |     598317 |     632380 |     586971 |     602607
  Cycles                             |    2808057 |    2808057 |    2808057 |    2808057 |    2808057 |    2808057 |    2808057 |    2808057
  IPC                                |       0.15 |       0.23 |       0.23 |       0.24 |       0.21 |       0.23 |       0.21 |       0.21
  Time (ns)                          |    1055661 |    1055661 |    1055661 |    1055661 |    1055661 |    1055661 |    1055661 |    1055661
  Idle time (ns)                     |     501663 |      83147 |      87844 |     100844 |     105676 |     118895 |     280773 |     257763
  Idle time (%)                      |      47.5% |       7.9% |       8.3% |       9.6% |      10.0% |      11.3% |      26.6% |      24.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      50929 |      88729 |      90079 |      93421 |      81869 |      87537 |      79969 |      82588
  num incorrect                      |        201 |        203 |        285 |        214 |        192 |        202 |        201 |        188
  misprediction rate                 |      0.39% |      0.23% |      0.32% |      0.23% |      0.23% |      0.23% |      0.25% |      0.23%
  mpki                               |       0.49 |       0.32 |       0.44 |       0.32 |       0.32 |       0.32 |       0.34 |       0.31
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31017 |      31013 |      31020 |      31020 |      31020 |      31019 |      31020 |      31020
    num cache misses                 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.04 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     238400 |     351809 |     356101 |     365914 |     331192 |     348225 |     325519 |     333337
    num cache misses                 |      22292 |      38856 |      38969 |      38907 |      37797 |      37035 |      31798 |      33346
    miss rate                        |      9.35% |     11.04% |     10.94% |     10.63% |     11.41% |     10.64% |      9.77% |     10.00%
    mpki                             |      54.01 |      60.76 |      60.12 |      58.26 |      63.17 |      58.56 |      54.17 |      55.34
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      22340 |      38904 |      39023 |      38952 |      37902 |      37132 |      31877 |      33445
    num cache misses                 |      12720 |      21274 |      20965 |      20651 |      21707 |      20698 |      16257 |      16762
    miss rate                        |     56.94% |     54.68% |     53.72% |     53.02% |     57.27% |     55.74% |     51.00% |     50.12%
    mpki                             |      30.82 |      33.26 |      32.35 |      30.93 |      36.28 |      32.73 |      27.70 |      27.82
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12734 |      21287 |      20980 |      20666 |      21762 |      20773 |      16310 |      16821
    num cache misses                 |         21 |          8 |          8 |          9 |         10 |         11 |          9 |          7
    miss rate                        |      0.16% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.06% |      0.04%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     156.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          5 |          6 |          5 |          7 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
