                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98212 |      98963 |      99110 |      98367
  Cycles                             |    1136805 |    1136805 |    1136805 |    1136805
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     427370 |     427370 |     427370 |     427370
  Idle time (ns)                     |     346663 |     335955 |     341923 |     345500
  Idle time (%)                      |      81.1% |      78.6% |      80.0% |      80.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      10771 |      10763 |      10872 |      10793
  num incorrect                      |        524 |        584 |        519 |        520
  misprediction rate                 |      4.64% |      5.15% |      4.56% |      4.60%
  mpki                               |       5.34 |       5.90 |       5.24 |       5.29
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17667 |      17747 |      17759 |      17682
    num cache misses                 |         24 |         24 |         24 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.24 |       0.24 |       0.24
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52294 |      52621 |      52659 |      52371
    num cache misses                 |       2596 |       2634 |       2546 |       2412
    miss rate                        |      4.96% |      5.01% |      4.83% |      4.61%
    mpki                             |      26.43 |      26.62 |      25.69 |      24.52
  Cache L2                           |            |            |            |           
    num cache accesses               |       3879 |       3893 |       3716 |       3580
    num cache misses                 |       2625 |       2665 |       2575 |       2439
    miss rate                        |     67.67% |     68.46% |     69.29% |     68.13%
    mpki                             |      26.73 |      26.93 |      25.98 |      24.79
  Cache L3                           |            |            |            |           
    num cache accesses               |       3879 |       3893 |       3716 |       3580
    num cache misses                 |       2625 |       2665 |       2575 |       2439
    miss rate                        |     67.67% |     68.46% |     69.29% |     68.13%
    mpki                             |      26.73 |      26.93 |      25.98 |      24.79
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1030 |          0 |          0 |          0
  average dram access latency (ns)   |      77.08 |        inf |        inf |        inf
  average dram queueing delay        |      23.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        174 |        168 |        186 |        157
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1345 |       1375 |       1284 |       1233
