                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   35580421 |   48030017 |   53790449 |   46425857 |   53392627 |   47147722 |   51396152 |   47170564 |   51369889 |   50554167 |   52991157 |   43700859 |   35263299 |   44319667 |   50073986 |   30549849
  Cycles                             |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990 |   55806990
  IPC                                |       0.64 |       0.86 |       0.96 |       0.83 |       0.96 |       0.84 |       0.92 |       0.85 |       0.92 |       0.91 |       0.95 |       0.78 |       0.63 |       0.79 |       0.90 |       0.55
  Time (ns)                          |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072 |   20980072
  Idle time (ns)                     |     664484 |    2006130 |      71790 |    2316038 |     174540 |    2235964 |     704098 |    2127188 |     983098 |    1146547 |     295782 |    3316289 |    5704439 |    2947935 |    1314732 |    7096995
  Idle time (%)                      |       3.2% |       9.6% |       0.3% |      11.0% |       0.8% |      10.7% |       3.4% |      10.1% |       4.7% |       5.5% |       1.4% |      15.8% |      27.2% |      14.1% |       6.3% |      33.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    6948284 |    9438230 |   10590324 |    9117401 |   10510732 |    9261754 |   10111434 |    9266347 |   10106196 |    9943033 |   10430457 |    8572392 |    6884905 |    8696171 |    9847003 |    5942208
  num incorrect                      |        206 |        188 |        179 |        185 |        208 |        205 |        208 |        180 |        196 |        215 |        189 |        194 |        169 |        177 |        206 |        176
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211018 |     211012 |     211009 |     211011 |     211012 |     211012 |     211014 |     211011 |     211011 |     211012 |     211012 |     211011 |     211011 |     211012 |     211014 |     211011
    num cache misses                 |         16 |         15 |         14 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   21470480 |   28940255 |   32396516 |   27977761 |   32157821 |   28410878 |   30959932 |   28424586 |   30944181 |   30454745 |   31916939 |   26342763 |   21280227 |   26714045 |   30166635 |   18452157
    num cache misses                 |     565525 |     366939 |     398785 |     364893 |     398522 |     363343 |     395578 |     366666 |     382729 |     381514 |     397341 |     346655 |     309652 |     355076 |     378338 |     286500
    miss rate                        |      2.63% |      1.27% |      1.23% |      1.30% |      1.24% |      1.28% |      1.28% |      1.29% |      1.24% |      1.25% |      1.24% |      1.32% |      1.46% |      1.33% |      1.25% |      1.55%
    mpki                             |      15.89 |       7.64 |       7.41 |       7.86 |       7.46 |       7.71 |       7.70 |       7.77 |       7.45 |       7.55 |       7.50 |       7.93 |       8.78 |       8.01 |       7.56 |       9.38
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     565586 |     366997 |     398840 |     364950 |     398585 |     363404 |     395641 |     366721 |     382789 |     381578 |     397398 |     346714 |     309705 |     355130 |     378400 |     286554
    num cache misses                 |     565541 |     366954 |     398799 |     364908 |     398537 |     363359 |     395594 |     366681 |     382744 |     381529 |     397356 |     346670 |     309667 |     355091 |     378354 |     286515
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |      15.89 |       7.64 |       7.41 |       7.86 |       7.46 |       7.71 |       7.70 |       7.77 |       7.45 |       7.55 |       7.50 |       7.93 |       8.78 |       8.01 |       7.56 |       9.38
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     565586 |     366997 |     398840 |     364950 |     398585 |     363405 |     395641 |     366721 |     382789 |     381578 |     397398 |     346714 |     309705 |     355130 |     378400 |     286554
    num cache misses                 |     565541 |     366954 |     398799 |     364908 |     398537 |     363359 |     395594 |     366681 |     382744 |     381529 |     397356 |     346670 |     309667 |     355091 |     378354 |     286515
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |      15.89 |       7.64 |       7.41 |       7.86 |       7.46 |       7.71 |       7.70 |       7.77 |       7.45 |       7.55 |       7.50 |       7.93 |       8.78 |       8.01 |       7.56 |       9.38
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        370 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     434.85 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     381.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          7 |          9 |          7 |          6 |          8 |          7 |          8 |          8 |          8 |          9 |          9 |          7 |          8 |          7 |          8 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         45 |         42 |         39 |         43 |         46 |         45 |         47 |         38 |         43 |         47 |         39 |         44 |         37 |         40 |         46 |         40
