                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97892 |      98404 |      98112 |      97865
  Cycles                             |     756852 |     756852 |     756852 |     756852
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     284531 |     284531 |     284531 |     284531
  Idle time (ns)                     |     258076 |     257098 |     257335 |     258407
  Idle time (%)                      |      90.7% |      90.4% |      90.4% |      90.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      10780 |      10780 |      10766 |      10790
  num incorrect                      |        497 |        548 |        529 |        499
  misprediction rate                 |      4.41% |      4.84% |      4.68% |      4.42%
  mpki                               |       5.08 |       5.57 |       5.39 |       5.10
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17640 |      17694 |      17653 |      17628
    num cache misses                 |         24 |         25 |         24 |         25
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.25 |       0.24 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52196 |      52406 |      52277 |      52174
    num cache misses                 |       2010 |       2131 |       2316 |       1840
    miss rate                        |      3.85% |      4.07% |      4.43% |      3.53%
    mpki                             |      20.53 |      21.66 |      23.61 |      18.80
  Cache L2                           |            |            |            |           
    num cache accesses               |       2679 |       2845 |       2966 |       2439
    num cache misses                 |         19 |         21 |         20 |         11
    miss rate                        |      0.71% |      0.74% |      0.67% |      0.45%
    mpki                             |       0.19 |       0.21 |       0.20 |       0.11
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |         24 |         24 |         14
    num cache misses                 |         19 |         21 |         20 |         11
    miss rate                        |     95.00% |     87.50% |     83.33% |     78.57%
    mpki                             |       0.19 |       0.21 |       0.20 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     169.76 |        inf |        inf |        inf
  average dram queueing delay        |     116.33 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          7 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
