                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223803 |     222933 |     223671 |     224243
  Cycles                             |    2776986 |    2776986 |    2776986 |    2776986
  IPC                                |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |    1043980 |    1043980 |    1043980 |    1043980
  Idle time (ns)                     |     901816 |     902958 |     900992 |     900437
  Idle time (%)                      |      86.4% |      86.5% |      86.3% |      86.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      19734 |      19677 |      19709 |      19712
  num incorrect                      |       1082 |       1046 |       1102 |       1151
  misprediction rate                 |      5.20% |      5.05% |      5.30% |      5.52%
  mpki                               |       4.83 |       4.69 |       4.93 |       5.13
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18674 |      18616 |      18677 |      18733
    num cache misses                 |         22 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136991 |     136662 |     136928 |     137142
    num cache misses                 |       2384 |       2340 |       2288 |       2409
    miss rate                        |      1.74% |      1.71% |      1.67% |      1.76%
    mpki                             |      10.65 |      10.50 |      10.23 |      10.74
  Cache L2                           |            |            |            |           
    num cache accesses               |       3087 |       3024 |       2991 |       3127
    num cache misses                 |         26 |         14 |         20 |         11
    miss rate                        |      0.84% |      0.46% |      0.67% |      0.35%
    mpki                             |       0.12 |       0.06 |       0.09 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |         27 |         17 |         24 |         14
    num cache misses                 |         26 |         14 |         20 |         11
    miss rate                        |     96.30% |     82.35% |     83.33% |     78.57%
    mpki                             |       0.12 |       0.06 |       0.09 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0
  average dram access latency (ns)   |     132.61 |        inf |        inf |        inf
  average dram queueing delay        |      79.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
