                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   41700305 |   43929069 |   41329052 |   42851374 |   38410804 |   41541212 |   42961567 |   41569362
  Cycles                             |   27046299 |   27046299 |   27046299 |   27046299 |   27046299 |   27046299 |   27046299 |   27046299
  IPC                                |       1.54 |       1.62 |       1.53 |       1.58 |       1.42 |       1.54 |       1.59 |       1.54
  Time (ns)                          |   10167782 |   10167782 |   10167782 |   10167782 |   10167782 |   10167782 |   10167782 |   10167782
  Idle time (ns)                     |     634139 |      83148 |     599134 |     288661 |    1186775 |     537143 |     254682 |     527214
  Idle time (%)                      |       6.2% |       0.8% |       5.9% |       2.8% |      11.7% |       5.3% |       2.5% |       5.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10188747 |   10745868 |   10095834 |   10476453 |    9366307 |   10148924 |   10504017 |   10155991
  num incorrect                      |        571 |        635 |        661 |        631 |        639 |        617 |        614 |        597
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     212018 |     212015 |     212017 |     212017 |     212013 |     212017 |     212022 |     212017
    num cache misses                 |         16 |         16 |         17 |         17 |         16 |         17 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21106672 |   22221054 |   20921043 |   21682211 |   19461924 |   21027128 |   21737301 |   21041212
    num cache misses                 |      11014 |      11377 |      10884 |      11238 |      10223 |      11010 |      11250 |      10980
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.26 |       0.26 |       0.26 |       0.26 |       0.27 |       0.27 |       0.26 |       0.26
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11994 |      12268 |      11931 |      12271 |      11254 |      12052 |      12326 |      12024
    num cache misses                 |      11030 |      11393 |      10901 |      11255 |      10239 |      11027 |      11267 |      10997
    miss rate                        |     91.96% |     92.87% |     91.37% |     91.72% |     90.98% |     91.50% |     91.41% |     91.46%
    mpki                             |       0.26 |       0.26 |       0.26 |       0.26 |       0.27 |       0.27 |       0.26 |       0.26
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11994 |      12268 |      11931 |      12271 |      11254 |      12052 |      12326 |      12024
    num cache misses                 |      11030 |      11393 |      10901 |      11255 |      10239 |      11027 |      11267 |      10997
    miss rate                        |     91.96% |     92.87% |     91.37% |     91.72% |     90.98% |     91.50% |     91.41% |     91.46%
    mpki                             |       0.26 |       0.26 |       0.26 |       0.26 |       0.27 |       0.27 |       0.26 |       0.26
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      68060 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      66.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      13.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       7344 |       8436 |       8108 |       8452 |       7736 |       8498 |       8710 |       8670
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2961 |       2099 |       1852 |       1915 |       1550 |       1587 |       1626 |       1391
