                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     228467 |     228972 |     227846 |     229082 |     229717 |     227526 |     228995 |     228699
  Cycles                             |    5110123 |    5110123 |    5110123 |    5110123 |    5110123 |    5110123 |    5110123 |    5110123
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    1921099 |    1921099 |    1921099 |    1921099 |    1921099 |    1921099 |    1921099 |    1921099
  Idle time (ns)                     |    1750147 |    1749133 |    1751006 |    1749203 |    1737153 |    1741917 |    1740791 |    1740354
  Idle time (%)                      |      91.1% |      91.0% |      91.1% |      91.1% |      90.4% |      90.7% |      90.6% |      90.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19819 |      19850 |      19735 |      19869 |      19837 |      19793 |      19931 |      19856
  num incorrect                      |       1317 |       1326 |       1338 |       1356 |       1390 |       1275 |       1274 |       1290
  misprediction rate                 |      6.23% |      6.26% |      6.35% |      6.39% |      6.55% |      6.05% |      6.01% |      6.10%
  mpki                               |       5.76 |       5.79 |       5.87 |       5.92 |       6.05 |       5.60 |       5.56 |       5.64
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19184 |      19246 |      19134 |      19230 |      19369 |      19076 |      19228 |      19235
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         24 |         25
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     138810 |     138995 |     138586 |     139029 |     139343 |     138433 |     138996 |     138923
    num cache misses                 |       3777 |       3900 |       3748 |       3720 |       3704 |       3401 |       3615 |       3542
    miss rate                        |      2.72% |      2.81% |      2.70% |      2.68% |      2.66% |      2.46% |      2.60% |      2.55%
    mpki                             |      16.53 |      17.03 |      16.45 |      16.24 |      16.12 |      14.95 |      15.79 |      15.49
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4590 |       4625 |       4473 |       4421 |       4728 |       4354 |       4637 |       4468
    num cache misses                 |       1903 |       1926 |       1839 |       1810 |       1642 |       1551 |       1565 |       1496
    miss rate                        |     41.46% |     41.64% |     41.11% |     40.94% |     34.73% |     35.62% |     33.75% |     33.48%
    mpki                             |       8.33 |       8.41 |       8.07 |       7.90 |       7.15 |       6.82 |       6.83 |       6.54
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2301 |       2345 |       2251 |       2192 |       2405 |       2234 |       2309 |       2144
    num cache misses                 |         24 |         16 |         15 |         11 |         12 |         14 |         14 |         27
    miss rate                        |      1.04% |      0.68% |      0.67% |      0.50% |      0.50% |      0.63% |      0.61% |      1.26%
    mpki                             |       0.11 |       0.07 |       0.07 |       0.05 |       0.05 |       0.06 |       0.06 |       0.12
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     170.15 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     116.72 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          8 |          6 |          6 |          5 |          7 |          6 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
