                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     233608 |     234216 |     234007 |     233742 |     233865 |     234059 |     232486 |     234939 |     234452 |     233896 |     234727 |     234396 |     234750 |     234090 |     235287 |     234627
  Cycles                             |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657 |   10642657
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999 |    4000999
  Idle time (ns)                     |    3796953 |    3794681 |    3794807 |    3796162 |    3796008 |    3791943 |    3798228 |    3792548 |    3795394 |    3798182 |    3797817 |    3794871 |    3796747 |    3794817 |    3792752 |    3799054
  Idle time (%)                      |      94.9% |      94.8% |      94.8% |      94.9% |      94.9% |      94.8% |      94.9% |      94.8% |      94.9% |      94.9% |      94.9% |      94.8% |      94.9% |      94.8% |      94.8% |      95.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20243 |      20212 |      20180 |      20221 |      20182 |      20179 |      20145 |      20296 |      20234 |      20208 |      20208 |      20270 |      20298 |      20197 |      20293 |      20229
  num incorrect                      |       1311 |       1332 |       1340 |       1277 |       1312 |       1325 |       1268 |       1330 |       1302 |       1349 |       1409 |       1288 |       1325 |       1317 |       1377 |       1348
  misprediction rate                 |      6.08% |      6.18% |      6.23% |      5.94% |      6.10% |      6.16% |      5.92% |      6.15% |      6.05% |      6.26% |      6.52% |      5.97% |      6.13% |      6.12% |      6.35% |      6.25%
  mpki                               |       5.61 |       5.69 |       5.73 |       5.46 |       5.61 |       5.66 |       5.45 |       5.66 |       5.55 |       5.77 |       6.00 |       5.49 |       5.64 |       5.63 |       5.85 |       5.75
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19684 |      19833 |      19840 |      19792 |      19814 |      19869 |      19622 |      19906 |      19902 |      19744 |      19850 |      19855 |      19857 |      19850 |      19925 |      19895
    num cache misses                 |         24 |         25 |         24 |         24 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         24 |         24 |         24 |         24 |         25
