                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97459 |      98401 |      97422 |      98179
  Cycles                             |     740817 |     740817 |     740817 |     740817
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     278503 |     278503 |     278503 |     278503
  Idle time (ns)                     |     253059 |     251726 |     253543 |     252497
  Idle time (%)                      |      90.9% |      90.4% |      91.0% |      90.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      10804 |      10799 |      10799 |      10853
  num incorrect                      |        451 |        520 |        448 |        468
  misprediction rate                 |      4.01% |      4.59% |      3.98% |      4.13%
  mpki                               |       4.63 |       5.28 |       4.60 |       4.77
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17568 |      17700 |      17575 |      17651
    num cache misses                 |         24 |         25 |         25 |         26
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.15%
    mpki                             |       0.25 |       0.25 |       0.26 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52004 |      52421 |      52002 |      52278
    num cache misses                 |       1679 |       1877 |       1748 |       1867
    miss rate                        |      3.23% |      3.58% |      3.36% |      3.57%
    mpki                             |      17.23 |      19.08 |      17.94 |      19.02
  Cache L2                           |            |            |            |           
    num cache accesses               |       2262 |       2568 |       2368 |       2409
    num cache misses                 |         11 |          7 |          7 |         37
    miss rate                        |      0.49% |      0.27% |      0.30% |      1.54%
    mpki                             |       0.11 |       0.07 |       0.07 |       0.38
  Cache L3                           |            |            |            |           
    num cache accesses               |         12 |         10 |         10 |         41
    num cache misses                 |         11 |          7 |          7 |         37
    miss rate                        |     91.67% |     70.00% |     70.00% |     90.24%
    mpki                             |       0.11 |       0.07 |       0.07 |       0.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |         58 |          0 |          0 |          0
  average dram access latency (ns)   |     109.32 |        inf |        inf |        inf
  average dram queueing delay        |      55.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |         10
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
