                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1051255 |    1094522 |     989625 |    1142972 |    1065981 |     906740 |    1085017 |    1160969
  Cycles                             |    2226847 |    2226847 |    2226847 |    2226847 |    2226847 |    2226847 |    2226847 |    2226847
  IPC                                |       0.47 |       0.49 |       0.44 |       0.51 |       0.48 |       0.41 |       0.49 |       0.52
  Time (ns)                          |     837161 |     837161 |     837161 |     837161 |     837161 |     837161 |     837161 |     837161
  Idle time (ns)                     |     122524 |     105854 |     192527 |      90130 |     119170 |     242621 |     125363 |      83141
  Idle time (%)                      |      14.6% |      12.6% |      23.0% |      10.8% |      14.2% |      29.0% |      15.0% |       9.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     157370 |     164551 |     147097 |     172672 |     159792 |     133256 |     162974 |     175649
  num incorrect                      |        180 |        212 |        182 |        166 |        207 |        203 |        204 |        187
  misprediction rate                 |      0.11% |      0.13% |      0.12% |      0.10% |      0.13% |      0.15% |      0.13% |      0.11%
  mpki                               |       0.17 |       0.19 |       0.18 |       0.15 |       0.19 |       0.22 |       0.19 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31019 |      31015 |      31020 |      31015 |      31020 |      31027 |      31020 |      31018
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     557659 |     579303 |     526846 |     603528 |     565006 |     485391 |     574543 |     612518
    num cache misses                 |      58870 |      55029 |      48680 |      54778 |      60497 |      44951 |      54320 |      55956
    miss rate                        |     10.56% |      9.50% |      9.24% |      9.08% |     10.71% |      9.26% |      9.45% |      9.14%
    mpki                             |      56.00 |      50.28 |      49.19 |      47.93 |      56.75 |      49.57 |      50.06 |      48.20
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      58969 |      55138 |      48780 |      54876 |      60605 |      45076 |      54430 |      56042
    num cache misses                 |      10890 |      10807 |       9327 |      10887 |      10991 |       8602 |      10555 |      10823
    miss rate                        |     18.47% |     19.60% |     19.12% |     19.84% |     18.14% |     19.08% |     19.39% |     19.31%
    mpki                             |      10.36 |       9.87 |       9.42 |       9.53 |      10.31 |       9.49 |       9.73 |       9.32
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10941 |      10887 |       9385 |      10940 |      11067 |       8665 |      10611 |      10871
    num cache misses                 |      10890 |      10806 |       9327 |      10887 |      10991 |       8602 |      10555 |      10823
    miss rate                        |     99.53% |     99.26% |     99.38% |     99.52% |     99.31% |     99.27% |     99.47% |     99.56%
    mpki                             |      10.36 |       9.87 |       9.42 |       9.53 |      10.31 |       9.49 |       9.73 |       9.32
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     140.52 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      87.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          3 |          6 |          6 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         46 |         70 |         53 |         45 |         66 |         51 |         48 |         41
