                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     106737 |      98637 |      97269 |     111255 |      95132 |     114529 |     105747 |     116672
  Cycles                             |     567805 |     567805 |     567805 |     567805 |     567805 |     567805 |     567805 |     567805
  IPC                                |       0.19 |       0.17 |       0.17 |       0.20 |       0.17 |       0.20 |       0.19 |       0.21
  Time (ns)                          |     213461 |     213461 |     213461 |     213461 |     213461 |     213461 |     213461 |     213461
  Idle time (ns)                     |      97613 |     103436 |     110552 |      92324 |     120295 |      83115 |     102446 |      84906
  Idle time (%)                      |      45.7% |      48.5% |      51.8% |      43.3% |      56.4% |      38.9% |      48.0% |      39.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10507 |       9148 |       8926 |      11245 |       8585 |      11794 |      10338 |      12146
  num incorrect                      |        123 |        133 |        127 |        139 |        112 |        126 |        122 |        141
  misprediction rate                 |      1.16% |      1.43% |      1.40% |      1.22% |      1.29% |      1.06% |      1.17% |      1.15%
  mpki                               |       1.15 |       1.35 |       1.31 |       1.25 |       1.18 |       1.10 |       1.15 |       1.21
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13017 |      13020 |      13020 |      13020 |      13020 |      13018 |      13020 |      13020
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.15 |       0.16 |       0.16 |       0.14 |       0.17 |       0.14 |       0.15 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      62900 |      58852 |      58168 |      65161 |      57100 |      66770 |      62389 |      67870
    num cache misses                 |       3483 |       3089 |       2942 |       3356 |       2866 |       3785 |       3124 |       3675
    miss rate                        |      5.54% |      5.25% |      5.06% |      5.15% |      5.02% |      5.67% |      5.01% |      5.41%
    mpki                             |      32.63 |      31.32 |      30.25 |      30.16 |      30.13 |      33.05 |      29.54 |      31.50
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3743 |       3318 |       3194 |       3571 |       3079 |       4056 |       3346 |       3979
    num cache misses                 |       3499 |       3109 |       2958 |       3375 |       2884 |       3804 |       3143 |       3701
    miss rate                        |     93.48% |     93.70% |     92.61% |     94.51% |     93.67% |     93.79% |     93.93% |     93.01%
    mpki                             |      32.78 |      31.52 |      30.41 |      30.34 |      30.32 |      33.21 |      29.72 |      31.72
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3743 |       3318 |       3194 |       3571 |       3079 |       4056 |       3346 |       3979
    num cache misses                 |       1443 |       1424 |       1247 |       1456 |       1213 |       1500 |       1411 |       1528
    miss rate                        |     38.55% |     42.92% |     39.04% |     40.77% |     39.40% |     36.98% |     42.17% |     38.40%
    mpki                             |      13.52 |      14.44 |      12.82 |      13.09 |      12.75 |      13.10 |      13.34 |      13.10
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     163.57 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     110.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          6 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        680 |        644 |        613 |        734 |        572 |        751 |        668 |        794
