                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     521502 |     506695 |     701170 |     578547 |     671177 |     653167 |     731680 |     599128 |     706169 |     722330 |     683967 |     554201 |     710118 |     682849 |     680422 |     699498
  Cycles                             |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330 |    1107330
  IPC                                |       0.47 |       0.46 |       0.63 |       0.52 |       0.61 |       0.59 |       0.66 |       0.54 |       0.64 |       0.65 |       0.62 |       0.50 |       0.64 |       0.62 |       0.61 |       0.63
  Time (ns)                          |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290 |     416290
  Idle time (ns)                     |     210007 |     212080 |     127506 |     170355 |     104229 |     102445 |      72278 |     124867 |      84977 |      74156 |      88068 |     148707 |      71812 |      85733 |      92401 |      83242
  Idle time (%)                      |      50.4% |      50.9% |      30.6% |      40.9% |      25.0% |      24.6% |      17.4% |      30.0% |      20.4% |      17.8% |      21.2% |      35.7% |      17.3% |      20.6% |      22.2% |      20.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     117456 |     113776 |     162267 |     131754 |     154925 |     150355 |     169985 |     136842 |     163592 |     167631 |     158085 |     125628 |     164619 |     157783 |     157202 |     161914
  num incorrect                      |        169 |        160 |        272 |        145 |        127 |        189 |        188 |        194 |        199 |        201 |        171 |        175 |        170 |        175 |        162 |        208
  misprediction rate                 |      0.14% |      0.14% |      0.17% |      0.11% |      0.08% |      0.13% |      0.11% |      0.14% |      0.12% |      0.12% |      0.11% |      0.14% |      0.10% |      0.11% |      0.10% |      0.13%
  mpki                               |       0.32 |       0.32 |       0.39 |       0.25 |       0.19 |       0.29 |       0.26 |       0.32 |       0.28 |       0.28 |       0.25 |       0.32 |       0.24 |       0.26 |       0.24 |       0.30
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12018 |      12012 |      12016 |      12012 |      12014 |      12014 |      12014 |      12013 |      12016 |      12016 |      12012 |      12016 |      12010 |      12021 |      12012 |      12012
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.03 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     270279 |     262889 |     360119 |     298815 |     345127 |     336119 |     375376 |     309095 |     362620 |     370701 |     351526 |     286639 |     364599 |     350952 |     349750 |     359269
    num cache misses                 |       3530 |       3457 |       4763 |       4128 |       4597 |       4807 |       5140 |       4444 |       4931 |       5052 |       4849 |       3969 |       5051 |       4943 |       4759 |       4904
