                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11213271 |   11643505 |    9903330 |   11326025 |    9556435 |    9142865 |   11951492 |   11491640
  Cycles                             |   28228080 |   28228080 |   28228080 |   28228080 |   28228080 |   28228080 |   28228080 |   28228080
  IPC                                |       0.40 |       0.41 |       0.35 |       0.40 |       0.34 |       0.32 |       0.42 |       0.41
  Time (ns)                          |   10612060 |   10612060 |   10612060 |   10612060 |   10612060 |   10612060 |   10612060 |   10612060
  Idle time (ns)                     |     210395 |     169421 |    1495968 |     890633 |     704156 |    2042088 |      83175 |     620500
  Idle time (%)                      |       2.0% |       1.6% |      14.1% |       8.4% |       6.6% |      19.2% |       0.8% |       5.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2074804 |    2160855 |    1812829 |    2097313 |    1743458 |    1660748 |    2222458 |    2130470
  num incorrect                      |        256 |        255 |        244 |        301 |        236 |        232 |        248 |        265
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211018 |     211016 |     211021 |     211016 |     211021 |     211021 |     211018 |     211021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    6850190 |    7108344 |    6064228 |    6917855 |    5856091 |    5607949 |    7293127 |    7017214
    num cache misses                 |     499443 |     483239 |     396518 |     434945 |     413581 |     367134 |     445036 |     429731
    miss rate                        |      7.29% |      6.80% |      6.54% |      6.29% |      7.06% |      6.55% |      6.10% |      6.12%
    mpki                             |      44.54 |      41.50 |      40.04 |      38.40 |      43.28 |      40.16 |      37.24 |      37.40
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     499464 |     483260 |     396541 |     434967 |     413630 |     367191 |     445097 |     429792
    num cache misses                 |     224964 |     206050 |     177053 |     186682 |     207469 |     168488 |     215992 |     202659
    miss rate                        |     45.04% |     42.64% |     44.65% |     42.92% |     50.16% |     45.89% |     48.53% |     47.15%
    mpki                             |      20.06 |      17.70 |      17.88 |      16.48 |      21.71 |      18.43 |      18.07 |      17.64
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     224965 |     206053 |     177056 |     186685 |     207500 |     168523 |     216037 |     202702
    num cache misses                 |         18 |          6 |         11 |          8 |          8 |         10 |         12 |          9
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01% |      0.01% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     157.11 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.68 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          4 |          5 |          4 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
