                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     195669 |     182771 |     166498 |     199180 |     219390 |     199319 |     190659 |     185470
  Cycles                             |     460789 |     460789 |     460789 |     460789 |     460789 |     460789 |     460789 |     460789
  IPC                                |       0.42 |       0.40 |       0.36 |       0.43 |       0.48 |       0.43 |       0.41 |       0.40
  Time (ns)                          |     173229 |     173229 |     173229 |     173229 |     173229 |     173229 |     173229 |     173229
  Idle time (ns)                     |      79638 |      76416 |      84739 |      70896 |      61181 |      68867 |      70623 |      76634
  Idle time (%)                      |      46.0% |      44.1% |      48.9% |      40.9% |      35.3% |      39.8% |      40.8% |      44.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      35742 |      32443 |      28442 |      36548 |      41647 |      36637 |      34463 |      33188
  num incorrect                      |        170 |        233 |        190 |        246 |        193 |        197 |        207 |        182
  misprediction rate                 |      0.47% |      0.71% |      0.66% |      0.67% |      0.46% |      0.53% |      0.60% |      0.55%
  mpki                               |       0.87 |       1.27 |       1.14 |       1.24 |       0.88 |       0.99 |       1.09 |       0.98
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      14020 |      14030 |      14017 |      14022 |      14017 |      14022 |      14020 |      14017
    num cache misses                 |         16 |         18 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.11% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.08 |       0.10 |       0.10 |       0.09 |       0.08 |       0.09 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     106848 |     100393 |      92291 |     108617 |     118709 |     108692 |     104364 |     101772
    num cache misses                 |       1994 |       1638 |       1517 |       1756 |       1841 |       1767 |       1728 |       1664
    miss rate                        |      1.87% |      1.63% |      1.64% |      1.62% |      1.55% |      1.63% |      1.66% |      1.64%
    mpki                             |      10.19 |       8.96 |       9.11 |       8.82 |       8.39 |       8.87 |       9.06 |       8.97
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2538 |       2200 |       2000 |       2320 |       2402 |       2337 |       2275 |       2234
    num cache misses                 |       2010 |       1657 |       1534 |       1774 |       1858 |       1784 |       1745 |       1681
    miss rate                        |     79.20% |     75.32% |     76.70% |     76.47% |     77.35% |     76.34% |     76.70% |     75.25%
    mpki                             |      10.27 |       9.07 |       9.21 |       8.91 |       8.47 |       8.95 |       9.15 |       9.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2538 |       2200 |       2000 |       2320 |       2402 |       2337 |       2275 |       2234
    num cache misses                 |       2010 |       1657 |       1534 |       1774 |       1858 |       1784 |       1745 |       1681
    miss rate                        |     79.20% |     75.32% |     76.70% |     76.47% |     77.35% |     76.34% |     76.70% |     75.25%
    mpki                             |      10.27 |       9.07 |       9.21 |       8.91 |       8.47 |       8.95 |       9.15 |       9.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       5732 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      65.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      11.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     27.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        519 |        594 |        551 |        613 |        661 |        653 |        689 |        619
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        786 |        443 |        440 |        529 |        587 |        509 |        470 |        425
