                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     814334 |     759100 |     794603 |     840429
  Cycles                             |    1001831 |    1001831 |    1001831 |    1001831
  IPC                                |       0.81 |       0.76 |       0.79 |       0.84
  Time (ns)                          |     376629 |     376629 |     376629 |     376629
  Idle time (ns)                     |      57762 |      61719 |      35391 |      28165
  Idle time (%)                      |      15.3% |      16.4% |       9.4% |       7.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     170327 |     156518 |     165359 |     176828
  num incorrect                      |        258 |        257 |        297 |        286
  misprediction rate                 |      0.15% |      0.16% |      0.18% |      0.16%
  mpki                               |       0.32 |       0.34 |       0.37 |       0.34
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      30018 |      30022 |      30017 |      30016
    num cache misses                 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     439197 |     411578 |     429334 |     452255
    num cache misses                 |       2985 |       2651 |       3042 |       3018
    miss rate                        |      0.68% |      0.64% |      0.71% |      0.67%
    mpki                             |       3.67 |       3.49 |       3.83 |       3.59
  Cache L2                           |            |            |            |           
    num cache accesses               |       3817 |       3541 |       3879 |       3876
    num cache misses                 |       3000 |       2666 |       3057 |       3033
    miss rate                        |     78.60% |     75.29% |     78.81% |     78.25%
    mpki                             |       3.68 |       3.51 |       3.85 |       3.61
  Cache L3                           |            |            |            |           
    num cache accesses               |       3817 |       3541 |       3879 |       3876
    num cache misses                 |       3000 |       2666 |       3057 |       3033
    miss rate                        |     78.60% |     75.29% |     78.81% |     78.25%
    mpki                             |       3.68 |       3.51 |       3.85 |       3.61
DRAM summary                         |            |            |            |           
  num dram accesses                  |       5076 |          0 |          0 |          0
  average dram access latency (ns)   |      56.01 |        inf |        inf |        inf
  average dram queueing delay        |       2.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        937 |        941 |       1122 |       1132
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1434 |       1124 |       1302 |       1297
