                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1407430 |    1406005 |    1406364 |    1406820 |    1407291 |    1406760 |    1406963 |    1406862 |    1407089 |    1407280 |    1407240 |    1407176 |    1407215 |    1407078 |    1407028 |    1407289
  Cycles                             |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308 |  102170308
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890 |   38409890
  Idle time (ns)                     |   36990358 |   36989590 |   36989800 |   36989374 |   36985923 |   36989548 |   36987547 |   36989731 |   36988383 |   36988609 |   36990698 |   36990965 |   36986034 |   36986823 |   36989157 |   36989104
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110470 |     110419 |     110438 |     110400 |     110517 |     110468 |     110465 |     110448 |     110449 |     110502 |     110483 |     110508 |     110459 |     110451 |     110448 |     110498
  num incorrect                      |       1010 |        914 |        929 |       1016 |        957 |        940 |        966 |        965 |       1010 |        990 |        977 |        948 |       1016 |        999 |        986 |        978
  misprediction rate                 |      0.91% |      0.82% |      0.83% |      0.91% |      0.86% |      0.84% |      0.87% |      0.87% |      0.91% |      0.89% |      0.88% |      0.85% |      0.91% |      0.90% |      0.88% |      0.88%
  mpki                               |       0.72 |       0.65 |       0.66 |       0.72 |       0.68 |       0.67 |       0.69 |       0.69 |       0.72 |       0.70 |       0.69 |       0.67 |       0.72 |       0.71 |       0.70 |       0.69
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20359 |      20197 |      20245 |      20296 |      20322 |      20293 |      20311 |      20323 |      20281 |      20305 |      20344 |      20326 |      20287 |      20302 |      20328 |      20317
    num cache misses                 |         24 |         25 |         24 |         25 |         24 |         24 |         24 |         25 |         24 |         24 |         25 |         24 |         24 |         24 |         24 |         25
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     952772 |     952258 |     952390 |     952556 |     952710 |     952536 |     952606 |     952586 |     952622 |     952676 |     952708 |     952676 |     952662 |     952632 |     952637 |     952704
    num cache misses                 |       3317 |       3165 |       3178 |       3248 |       3383 |       3272 |       3271 |       3288 |       3273 |       3297 |       3280 |       3271 |       3290 |       3243 |       3233 |       3292
    miss rate                        |      0.35% |      0.33% |      0.33% |      0.34% |      0.36% |      0.34% |      0.34% |      0.35% |      0.34% |      0.35% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.35%
    mpki                             |       2.36 |       2.25 |       2.26 |       2.31 |       2.40 |       2.33 |       2.32 |       2.34 |       2.33 |       2.34 |       2.33 |       2.32 |       2.34 |       2.30 |       2.30 |       2.34
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4178 |       3918 |       3925 |       4055 |       4231 |       4082 |       4101 |       4127 |       4091 |       4150 |       4119 |       4133 |       4098 |       4055 |       4101 |       4144
    num cache misses                 |       2794 |       2639 |       2608 |       2722 |       2869 |       2723 |       2746 |       2778 |       2717 |       2758 |       2784 |       2669 |       2749 |       2701 |       2730 |       2793
    miss rate                        |     66.87% |     67.36% |     66.45% |     67.13% |     67.81% |     66.71% |     66.96% |     67.31% |     66.41% |     66.46% |     67.59% |     64.58% |     67.08% |     66.61% |     66.57% |     67.40%
    mpki                             |       1.99 |       1.88 |       1.85 |       1.93 |       2.04 |       1.94 |       1.95 |       1.97 |       1.93 |       1.96 |       1.98 |       1.90 |       1.95 |       1.92 |       1.94 |       1.98
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3522 |       3268 |       3212 |       3424 |       3601 |       3426 |       3443 |       3479 |       3405 |       3482 |       3499 |       3394 |       3414 |       3403 |       3479 |       3542
    num cache misses                 |       2140 |       2011 |       1960 |       2028 |       2244 |       2072 |       2048 |       2154 |       2011 |       2016 |       2072 |       2002 |       2070 |       1968 |       2031 |       2062
    miss rate                        |     60.76% |     61.54% |     61.02% |     59.23% |     62.32% |     60.48% |     59.48% |     61.91% |     59.06% |     57.90% |     59.22% |     58.99% |     60.63% |     57.83% |     58.38% |     58.22%
    mpki                             |       1.52 |       1.43 |       1.39 |       1.44 |       1.59 |       1.47 |       1.46 |       1.53 |       1.43 |       1.43 |       1.47 |       1.42 |       1.47 |       1.40 |       1.44 |       1.47
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     257.26 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     203.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          5 |          4 |          6 |          5 |          4 |          4 |          7 |          4 |          4 |          8 |          6 |          4 |          5 |          4 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1145 |       1071 |       1063 |       1103 |       1195 |       1120 |       1105 |       1148 |       1090 |       1085 |       1115 |       1099 |       1119 |       1078 |       1097 |       1118
