                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     130991 |     129134 |     140909 |     134243
  Cycles                             |     266841 |     266841 |     266841 |     266841
  IPC                                |       0.49 |       0.48 |       0.53 |       0.50
  Time (ns)                          |     100317 |     100317 |     100317 |     100317
  Idle time (ns)                     |      42034 |      35382 |      29911 |      35121
  Idle time (%)                      |      41.9% |      35.3% |      29.8% |      35.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      19904 |      19426 |      22363 |      20710
  num incorrect                      |         94 |        108 |        117 |         99
  misprediction rate                 |      0.47% |      0.55% |      0.52% |      0.48%
  mpki                               |       0.72 |       0.84 |       0.83 |       0.74
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12018 |      12018 |      12021 |      12023
    num cache misses                 |         15 |         15 |         15 |         16
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.11 |       0.12 |       0.11 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      75024 |      74098 |      79987 |      76650
    num cache misses                 |       1187 |       1474 |       1609 |       1486
    miss rate                        |      1.58% |      1.99% |      2.01% |      1.94%
    mpki                             |       9.06 |      11.41 |      11.42 |      11.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       1563 |       1795 |       2139 |       2035
    num cache misses                 |       1202 |       1489 |       1624 |       1503
    miss rate                        |     76.90% |     82.95% |     75.92% |     73.86%
    mpki                             |       9.18 |      11.53 |      11.53 |      11.20
  Cache L3                           |            |            |            |           
    num cache accesses               |       1563 |       1795 |       2139 |       2035
    num cache misses                 |          9 |          3 |          3 |         21
    miss rate                        |      0.58% |      0.17% |      0.14% |      1.03%
    mpki                             |       0.07 |       0.02 |       0.02 |       0.16
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      89.00 |        inf |        inf |        inf
  average dram queueing delay        |      35.57 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
