                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1403195 |    1403428 |    1403998 |    1402890 |    1402083 |    1402074 |    1404031 |    1402203
  Cycles                             |   50614694 |   50614694 |   50614694 |   50614694 |   50614694 |   50614694 |   50614694 |   50614694
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19028081 |   19028081 |   19028081 |   19028081 |   19028081 |   19028081 |   19028081 |   19028081
  Idle time (ns)                     |   17633357 |   17632526 |   17629415 |   17631623 |   17630532 |   17628292 |   17621607 |   17629573
  Idle time (%)                      |      92.7% |      92.7% |      92.6% |      92.7% |      92.7% |      92.6% |      92.6% |      92.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110592 |     110636 |     110659 |     110518 |     110520 |     110717 |     110669 |     110534
  num incorrect                      |        561 |        557 |        600 |        588 |        497 |        548 |        598 |        502
  misprediction rate                 |      0.50% |      0.50% |      0.54% |      0.53% |      0.45% |      0.49% |      0.54% |      0.45%
  mpki                               |       0.40 |       0.40 |       0.43 |       0.42 |       0.35 |       0.39 |       0.43 |       0.36
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19525 |      19513 |      19554 |      19543 |      19461 |      19234 |      19549 |      19455
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         26 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     951006 |     951066 |     951261 |     950932 |     950646 |     950276 |     951259 |     950681
    num cache misses                 |       2244 |       2311 |       2379 |       2218 |       2095 |       2215 |       2355 |       2104
    miss rate                        |      0.24% |      0.24% |      0.25% |      0.23% |      0.22% |      0.23% |      0.25% |      0.22%
    mpki                             |       1.60 |       1.65 |       1.69 |       1.58 |       1.49 |       1.58 |       1.68 |       1.50
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2484 |       2565 |       2644 |       2503 |       2412 |       2544 |       2714 |       2426
    num cache misses                 |       1259 |       1316 |       1403 |       1290 |       1169 |       1235 |       1340 |       1160
    miss rate                        |     50.68% |     51.31% |     53.06% |     51.54% |     48.47% |     48.55% |     49.37% |     47.82%
    mpki                             |       0.90 |       0.94 |       1.00 |       0.92 |       0.83 |       0.88 |       0.95 |       0.83
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1364 |       1449 |       1535 |       1432 |       1373 |       1463 |       1567 |       1386
    num cache misses                 |         12 |          6 |          7 |          6 |         17 |          7 |         24 |          6
    miss rate                        |      0.88% |      0.41% |      0.46% |      0.42% |      1.24% |      0.48% |      1.53% |      0.43%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.02 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     121.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      67.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          6 |          6 |          6 |          7 |          5 |          9 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
