                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1405865 |    1405801 |    1405320 |    1406446 |    1405462 |    1405084 |    1405497 |    1406029
  Cycles                             |   51372338 |   51372338 |   51372338 |   51372338 |   51372338 |   51372338 |   51372338 |   51372338
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19312909 |   19312909 |   19312909 |   19312909 |   19312909 |   19312909 |   19312909 |   19312909
  Idle time (ns)                     |   17879307 |   17877150 |   17882113 |   17876988 |   17881744 |   17882299 |   17880143 |   17880173
  Idle time (%)                      |      92.6% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6% |      92.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110427 |     110407 |     110498 |     110433 |     110394 |     110328 |     110379 |     110411
  num incorrect                      |        928 |        948 |        918 |        995 |        910 |        926 |        936 |        961
  misprediction rate                 |      0.83% |      0.85% |      0.82% |      0.89% |      0.82% |      0.83% |      0.84% |      0.86%
  mpki                               |       0.66 |       0.67 |       0.65 |       0.71 |       0.65 |       0.66 |       0.67 |       0.68
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      20062 |      20044 |      19905 |      20102 |      20051 |      20039 |      20033 |      20090
    num cache misses                 |         24 |         25 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     952126 |     952098 |     951761 |     952318 |     952002 |     951886 |     952000 |     952190
    num cache misses                 |       3167 |       3185 |       3085 |       3256 |       3117 |       3060 |       3118 |       3196
    miss rate                        |      0.33% |      0.33% |      0.32% |      0.34% |      0.33% |      0.32% |      0.33% |      0.34%
    mpki                             |       2.25 |       2.27 |       2.20 |       2.32 |       2.22 |       2.18 |       2.22 |       2.27
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3890 |       3854 |       3804 |       3981 |       3839 |       3744 |       3817 |       3941
    num cache misses                 |       3191 |       3210 |       3109 |       3280 |       3141 |       3084 |       3142 |       3221
    miss rate                        |     82.03% |     83.29% |     81.73% |     82.39% |     81.82% |     82.37% |     82.32% |     81.73%
    mpki                             |       2.27 |       2.28 |       2.21 |       2.33 |       2.23 |       2.19 |       2.24 |       2.29
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3890 |       3854 |       3804 |       3981 |       3839 |       3744 |       3817 |       3941
    num cache misses                 |       2127 |       2110 |       1964 |       2093 |       2100 |       2043 |       2104 |       2147
    miss rate                        |     54.68% |     54.75% |     51.63% |     52.57% |     54.70% |     54.57% |     55.12% |     54.48%
    mpki                             |       1.51 |       1.50 |       1.40 |       1.49 |       1.49 |       1.45 |       1.50 |       1.53
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         80 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     172.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     118.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          5 |          8 |          6 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1177 |       1172 |       1085 |       1156 |       1194 |       1146 |       1179 |       1209
