                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1405912 |    1406167 |    1405237 |    1405597 |    1405627 |    1405928 |    1406201 |    1405859 |    1405284 |    1405501 |    1406345 |    1406005 |    1405606 |    1404902 |    1406385 |    1406768
  Cycles                             |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476 |  102989476
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848 |   38717848
  Idle time (ns)                     |   37292348 |   37291912 |   37290475 |   37288450 |   37280390 |   37277249 |   37274909 |   37277758 |   37277531 |   37279868 |   37273177 |   37275580 |   37278049 |   37280387 |   37277343 |   37279178
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110429 |     110460 |     110371 |     110380 |     110394 |     110412 |     110450 |     110413 |     110406 |     110401 |     110440 |     110405 |     110384 |     110392 |     110429 |     110488
  num incorrect                      |        931 |        929 |        917 |        950 |        927 |        956 |        959 |        943 |        889 |        912 |        979 |        964 |        942 |        861 |       1018 |        980
  misprediction rate                 |      0.84% |      0.83% |      0.82% |      0.85% |      0.83% |      0.86% |      0.86% |      0.85% |      0.80% |      0.82% |      0.88% |      0.87% |      0.85% |      0.77% |      0.91% |      0.88%
  mpki                               |       0.66 |       0.66 |       0.65 |       0.68 |       0.66 |       0.68 |       0.68 |       0.67 |       0.63 |       0.65 |       0.70 |       0.69 |       0.67 |       0.61 |       0.72 |       0.70
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20073 |      20076 |      19998 |      20021 |      20069 |      20057 |      20051 |      20057 |      20000 |      20039 |      20084 |      20087 |      20045 |      19964 |      20057 |      20121
    num cache misses                 |         24 |         25 |         25 |         26 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         25
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     952143 |     952216 |     951910 |     952027 |     952061 |     952139 |     952213 |     952115 |     951917 |     952005 |     952277 |     952181 |     952039 |     951783 |     952253 |     952415
    num cache misses                 |       3441 |       3458 |       3361 |       3387 |       3366 |       3422 |       3481 |       3427 |       3366 |       3379 |       3550 |       3460 |       3369 |       3287 |       3460 |       3500
    miss rate                        |      0.36% |      0.36% |      0.35% |      0.36% |      0.35% |      0.36% |      0.37% |      0.36% |      0.35% |      0.35% |      0.37% |      0.36% |      0.35% |      0.35% |      0.36% |      0.37%
    mpki                             |       2.45 |       2.46 |       2.39 |       2.41 |       2.39 |       2.43 |       2.48 |       2.44 |       2.40 |       2.40 |       2.52 |       2.46 |       2.40 |       2.34 |       2.46 |       2.49
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4241 |       4268 |       4116 |       4151 |       4172 |       4249 |       4283 |       4243 |       4135 |       4187 |       4379 |       4258 |       4192 |       4057 |       4266 |       4345
    num cache misses                 |       2965 |       2916 |       2871 |       2873 |       2914 |       2908 |       3009 |       2967 |       2910 |       2923 |       3080 |       2939 |       2883 |       2867 |       2896 |       2941
    miss rate                        |     69.91% |     68.32% |     69.75% |     69.21% |     69.85% |     68.44% |     70.25% |     69.93% |     70.37% |     69.81% |     70.34% |     69.02% |     68.77% |     70.67% |     67.89% |     67.69%
    mpki                             |       2.11 |       2.07 |       2.04 |       2.04 |       2.07 |       2.07 |       2.14 |       2.11 |       2.07 |       2.08 |       2.19 |       2.09 |       2.05 |       2.04 |       2.06 |       2.09
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3668 |       3618 |       3524 |       3530 |       3611 |       3638 |       3706 |       3676 |       3587 |       3637 |       3792 |       3623 |       3598 |       3554 |       3577 |       3672
    num cache misses                 |       2965 |       2916 |       2871 |       2873 |       2914 |       2908 |       3009 |       2967 |       2910 |       2923 |       3080 |       2939 |       2883 |       2867 |       2896 |       2941
    miss rate                        |     80.83% |     80.60% |     81.47% |     81.39% |     80.70% |     79.93% |     81.19% |     80.71% |     81.13% |     80.37% |     81.22% |     81.12% |     80.13% |     80.67% |     80.96% |     80.09%
    mpki                             |       2.11 |       2.07 |       2.04 |       2.04 |       2.07 |       2.07 |       2.14 |       2.11 |       2.07 |       2.08 |       2.19 |       2.09 |       2.05 |       2.04 |       2.06 |       2.09
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        229 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     225.75 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     172.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
