                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     732923 |    1007989 |     865887 |    1078409
  Cycles                             |    1160179 |    1160179 |    1160179 |    1160179
  IPC                                |       0.63 |       0.87 |       0.75 |       0.93
  Time (ns)                          |     436158 |     436158 |     436158 |     436158
  Idle time (ns)                     |     136997 |      36341 |      72870 |      33284
  Idle time (%)                      |      31.4% |       8.3% |      16.7% |       7.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     149830 |     218593 |     183019 |     236154
  num incorrect                      |        153 |        166 |        214 |        196
  misprediction rate                 |      0.10% |      0.08% |      0.12% |      0.08%
  mpki                               |       0.21 |       0.16 |       0.25 |       0.18
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      32020 |      32011 |      32015 |      32022
    num cache misses                 |         16 |         15 |         17 |         17
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     397991 |     535533 |     464483 |     570728
    num cache misses                 |       2505 |       3170 |       2873 |       3020
    miss rate                        |      0.63% |      0.59% |      0.62% |      0.53%
    mpki                             |       3.42 |       3.14 |       3.32 |       2.80
  Cache L2                           |            |            |            |           
    num cache accesses               |       3481 |       3725 |       3799 |       3926
    num cache misses                 |       2521 |       3185 |       2890 |       3037
    miss rate                        |     72.42% |     85.50% |     76.07% |     77.36%
    mpki                             |       3.44 |       3.16 |       3.34 |       2.82
  Cache L3                           |            |            |            |           
    num cache accesses               |       3481 |       3725 |       3799 |       3926
    num cache misses                 |       2521 |       3185 |       2890 |       3037
    miss rate                        |     72.42% |     85.50% |     76.07% |     77.36%
    mpki                             |       3.44 |       3.16 |       3.34 |       2.82
DRAM summary                         |            |            |            |           
  num dram accesses                  |       5443 |          0 |          0 |          0
  average dram access latency (ns)   |      56.76 |        inf |        inf |        inf
  average dram queueing delay        |       3.33 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        886 |       1503 |       1356 |       1240
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1111 |       1403 |       1028 |       1295
