                                     | Core 0     | Core 1    
  Instructions                       |     219104 |     219000
  Cycles                             |    1355959 |    1355959
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     509759 |     509759
  Idle time (ns)                     |     375147 |     376014
  Idle time (%)                      |      73.6% |      73.8%
Branch predictor stats               |            |           
  num correct                        |      19608 |      19627
  num incorrect                      |        904 |        873
  misprediction rate                 |      4.41% |      4.26%
  mpki                               |       4.13 |       3.99
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18150 |      18140
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.14%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135082 |     135038
    num cache misses                 |       1713 |       1642
    miss rate                        |      1.27% |      1.22%
    mpki                             |       7.82 |       7.50
  Cache L2                           |            |           
    num cache accesses               |       2434 |       2436
    num cache misses                 |         31 |         20
    miss rate                        |      1.27% |      0.82%
    mpki                             |       0.14 |       0.09
  Cache L3                           |            |           
    num cache accesses               |         33 |         23
    num cache misses                 |         31 |         20
    miss rate                        |     93.94% |     86.96%
    mpki                             |       0.14 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     102.93 |        inf
  average dram queueing delay        |      49.50 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
