                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     115485 |     108143 |      90508 |      88152 |      99075 |     116114 |     107326 |      94886
  Cycles                             |     614980 |     614980 |     614980 |     614980 |     614980 |     614980 |     614980 |     614980
  IPC                                |       0.19 |       0.18 |       0.15 |       0.14 |       0.16 |       0.19 |       0.17 |       0.15
  Time (ns)                          |     231196 |     231196 |     231196 |     231196 |     231196 |     231196 |     231196 |     231196
  Idle time (ns)                     |      93325 |     110174 |     144495 |     150532 |     129196 |      94031 |     113168 |     143183
  Idle time (%)                      |      40.4% |      47.7% |      62.5% |      65.1% |      55.9% |      40.7% |      48.9% |      61.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      11964 |      10746 |       7828 |       7420 |       9234 |      12033 |      10597 |       8537
  num incorrect                      |        123 |        120 |         96 |        116 |        120 |        164 |        129 |        119
  misprediction rate                 |      1.02% |      1.10% |      1.21% |      1.54% |      1.28% |      1.34% |      1.20% |      1.37%
  mpki                               |       1.07 |       1.11 |       1.06 |       1.32 |       1.21 |       1.41 |       1.20 |       1.25
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30162 |      27727 |      21841 |      21067 |      24702 |      30388 |      27446 |      23307
    num cache misses                 |         14 |         17 |         17 |         17 |         17 |         16 |         16 |         17
    miss rate                        |      0.05% |      0.06% |      0.08% |      0.08% |      0.07% |      0.05% |      0.06% |      0.07%
    mpki                             |       0.12 |       0.16 |       0.19 |       0.19 |       0.17 |       0.14 |       0.15 |       0.18
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      67272 |      63614 |      54777 |      53617 |      59071 |      67599 |      63186 |      56979
    num cache misses                 |       6125 |       5238 |       3926 |       3716 |       4463 |       5917 |       5046 |       3887
    miss rate                        |      9.10% |      8.23% |      7.17% |      6.93% |      7.56% |      8.75% |      7.99% |      6.82%
    mpki                             |      53.04 |      48.44 |      43.38 |      42.15 |      45.05 |      50.96 |      47.02 |      40.96
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6347 |       5425 |       4167 |       3938 |       4621 |       6102 |       5178 |       4049
    num cache misses                 |       3855 |       3016 |       2046 |       1927 |       2488 |       3654 |       2939 |       2087
    miss rate                        |     60.74% |     55.59% |     49.10% |     48.93% |     53.84% |     59.88% |     56.76% |     51.54%
    mpki                             |      33.38 |      27.89 |      22.61 |      21.86 |      25.11 |      31.47 |      27.38 |      21.99
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4021 |       3146 |       2227 |       2078 |       2554 |       3731 |       3022 |       2161
    num cache misses                 |         18 |         10 |         10 |          8 |         10 |         10 |          6 |          8
    miss rate                        |      0.45% |      0.32% |      0.45% |      0.38% |      0.39% |      0.27% |      0.20% |      0.37%
    mpki                             |       0.16 |       0.09 |       0.11 |       0.09 |       0.10 |       0.09 |       0.06 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     154.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     100.69 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          4 |          4 |          6 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
