                                     | Core 0     | Core 1    
  Instructions                       |     105988 |      86977
  Cycles                             |      94871 |      94871
  IPC                                |       1.12 |       0.92
  Time (ns)                          |      35666 |      35666
  Idle time (ns)                     |       5471 |      12514
  Idle time (%)                      |      15.3% |      35.1%
Branch predictor stats               |            |           
  num correct                        |      10475 |       7302
  num incorrect                      |         30 |         37
  misprediction rate                 |      0.29% |      0.50%
  mpki                               |       0.28 |       0.43
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13017 |      13013
    num cache misses                 |         16 |         15
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.15 |       0.17
  Cache L1-D                         |            |           
    num cache accesses               |      62525 |      53029
    num cache misses                 |        255 |        257
    miss rate                        |      0.41% |      0.48%
    mpki                             |       2.41 |       2.95
  Cache L2                           |            |           
    num cache accesses               |        317 |        323
    num cache misses                 |        271 |        272
    miss rate                        |     85.49% |     84.21%
    mpki                             |       2.56 |       3.13
  Cache L3                           |            |           
    num cache accesses               |        317 |        323
    num cache misses                 |        271 |        272
    miss rate                        |     85.49% |     84.21%
    mpki                             |       2.56 |       3.13
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      82.41 |        inf
  average dram queueing delay        |      28.98 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |         42 |         46
