                                     | Core 0     | Core 1    
  Instructions                       |    7549289 |    7558941
  Cycles                             |    6813902 |    6813902
  IPC                                |       1.11 |       1.11
  Time (ns)                          |    2561618 |    2561618
  Idle time (ns)                     |      14026 |      13407
  Idle time (%)                      |       0.5% |       0.5%
Branch predictor stats               |            |           
  num correct                        |    1651195 |    1653592
  num incorrect                      |        369 |        370
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.05 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     212018 |     212030
    num cache misses                 |         16 |         18
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4031164 |    4035963
    num cache misses                 |       1737 |       1859
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.23 |       0.25
  Cache L2                           |            |           
    num cache accesses               |       2773 |       2777
    num cache misses                 |       1753 |       1877
    miss rate                        |     63.22% |     67.59%
    mpki                             |       0.23 |       0.25
  Cache L3                           |            |           
    num cache accesses               |       2773 |       2777
    num cache misses                 |         14 |         23
    miss rate                        |      0.50% |      0.83%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         32 |          0
  average dram access latency (ns)   |      91.42 |        inf
  average dram queueing delay        |      37.99 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
